time,gridY,gridX,ssh
UTC,count,count,m
2019-01-11T22:30:00Z,495,216,0.23076238
2019-01-11T23:30:00Z,495,216,0.04010783
2019-01-12T00:30:00Z,495,216,0.022913685
2019-01-12T01:30:00Z,495,216,0.13167547
2019-01-12T02:30:00Z,495,216,0.2860669
2019-01-12T03:30:00Z,495,216,0.42902642
2019-01-12T04:30:00Z,495,216,0.4662441
2019-01-12T05:30:00Z,495,216,0.35173237
2019-01-12T06:30:00Z,495,216,0.08278795
2019-01-12T07:30:00Z,495,216,-0.26603633
2019-01-12T08:30:00Z,495,216,-0.62409574
2019-01-12T09:30:00Z,495,216,-0.9119614
2019-01-12T10:30:00Z,495,216,-1.0372833
2019-01-12T11:30:00Z,495,216,-0.927511
2019-01-12T12:30:00Z,495,216,-0.5850913
2019-01-12T13:30:00Z,495,216,-0.10046539
2019-01-12T14:30:00Z,495,216,0.46975413
2019-01-12T15:30:00Z,495,216,1.0405554
2019-01-12T16:30:00Z,495,216,1.4836466
2019-01-12T17:30:00Z,495,216,1.7143642
2019-01-12T18:30:00Z,495,216,1.7019132
2019-01-12T19:30:00Z,495,216,1.4672751
2019-01-12T20:30:00Z,495,216,1.0908482
2019-01-12T21:30:00Z,495,216,0.6436777
2019-01-12T22:30:00Z,495,216,0.2199374
2019-01-12T23:30:00Z,495,216,-0.11077258
2019-01-13T00:30:00Z,495,216,-0.27935782
2019-01-13T01:30:00Z,495,216,-0.26497006
2019-01-13T02:30:00Z,495,216,-0.12938944
2019-01-13T03:30:00Z,495,216,0.041542403
2019-01-13T04:30:00Z,495,216,0.19947277
2019-01-13T05:30:00Z,495,216,0.27795678
2019-01-13T06:30:00Z,495,216,0.21610309
2019-01-13T07:30:00Z,495,216,0.012224474
2019-01-13T08:30:00Z,495,216,-0.25021827
2019-01-13T09:30:00Z,495,216,-0.5142241
2019-01-13T10:30:00Z,495,216,-0.7137274
2019-01-13T11:30:00Z,495,216,-0.75499356
2019-01-13T12:30:00Z,495,216,-0.59730047
2019-01-13T13:30:00Z,495,216,-0.25810197
2019-01-13T14:30:00Z,495,216,0.19237785
2019-01-13T15:30:00Z,495,216,0.6870834
2019-01-13T16:30:00Z,495,216,1.1447164
2019-01-13T17:30:00Z,495,216,1.4660151
2019-01-13T18:30:00Z,495,216,1.5644553
2019-01-13T19:30:00Z,495,216,1.4286089
2019-01-13T20:30:00Z,495,216,1.1115062
2019-01-13T21:30:00Z,495,216,0.6839822
2019-01-13T22:30:00Z,495,216,0.20795919
2019-01-13T23:30:00Z,495,216,-0.2281625
2019-01-14T00:30:00Z,495,216,-0.546462
2019-01-14T01:30:00Z,495,216,-0.6845783
2019-01-14T02:30:00Z,495,216,-0.63619125
2019-01-14T03:30:00Z,495,216,-0.46510294
2019-01-14T04:30:00Z,495,216,-0.229013
2019-01-14T05:30:00Z,495,216,0.008398256
2019-01-14T06:30:00Z,495,216,0.16811512
2019-01-14T07:30:00Z,495,216,0.19696032
2019-01-14T08:30:00Z,495,216,0.10412258
2019-01-14T09:30:00Z,495,216,-0.061472066
2019-01-14T10:30:00Z,495,216,-0.2388537
2019-01-14T11:30:00Z,495,216,-0.36681426
2019-01-14T12:30:00Z,495,216,-0.3742221
2019-01-14T13:30:00Z,495,216,-0.21298029
2019-01-14T14:30:00Z,495,216,0.10145217
2019-01-14T15:30:00Z,495,216,0.49436596
2019-01-14T16:30:00Z,495,216,0.91565436
2019-01-14T17:30:00Z,495,216,1.2838945
