,b1,b2,b3,b4,b5
172,1283.0,1192.0,970.0,1384.0,917.0
173,1290.0,1197.0,975.0,1380.0,922.0
174,1282.0,1194.0,966.0,1389.0,918.0
175,1280.0,1193.0,971.0,1376.0,920.0
176,1282.0,1196.0,969.0,1374.0,919.0
177,1280.0,1184.0,971.0,1376.0,925.0
178,1279.0,1188.0,967.0,1368.0,909.0
179,1291.0,1191.0,969.0,1371.0,921.0
180,1280.0,1201.0,969.0,1377.0,926.0
181,1285.0,1190.0,970.0,1389.0,924.0
182,1278.0,1193.0,976.0,1384.0,925.0
183,1277.0,1198.0,972.0,1381.0,919.0
184,1282.0,1196.0,980.0,1376.0,918.0
185,1287.0,1196.0,966.0,1390.0,922.0
186,1280.0,1189.0,964.0,1385.0,911.0
187,1278.0,1187.0,967.0,1375.0,915.0
188,1269.0,1187.0,964.0,1374.0,919.0
189,1271.0,1182.0,976.0,1370.0,911.0
190,1270.0,1191.0,970.0,1377.0,915.0
191,1274.0,1187.0,971.0,1376.0,916.0
192,1287.0,1190.0,974.0,1371.0,923.0
193,1289.0,1197.0,978.0,1379.0,922.0
194,1278.0,1188.0,970.0,1374.0,925.0
195,1278.0,1185.0,975.0,1378.0,918.0
196,1282.0,1187.0,972.0,1376.0,925.0
197,1278.0,1195.0,970.0,1380.0,918.0
198,1286.0,1189.0,974.0,1376.0,917.0
199,1278.0,1194.0,964.0,1384.0,922.0
200,1290.0,1194.0,968.0,1375.0,914.0
201,1287.0,1202.0,968.0,1384.0,925.0
202,1289.0,1193.0,972.0,1379.0,922.0
203,1282.0,1188.0,978.0,1371.0,915.0
204,1279.0,1187.0,969.0,1382.0,916.0
205,1279.0,1190.0,971.0,1378.0,925.0
206,1276.0,1190.0,965.0,1373.0,909.0
207,1282.0,1192.0,962.0,1370.0,915.0
208,1274.0,1187.0,971.0,1375.0,911.0
209,1280.0,1186.0,965.0,1370.0,914.0
210,1275.0,1186.0,968.0,1374.0,912.0
211,1274.0,1180.0,970.0,1371.0,917.0
212,1286.0,1188.0,961.0,1373.0,915.0
213,1275.0,1191.0,975.0,1373.0,916.0
214,1278.0,1189.0,962.0,1374.0,922.0
215,1279.0,1192.0,966.0,1383.0,918.0
216,1279.0,1190.0,968.0,1376.0,922.0
217,1275.0,1181.0,969.0,1369.0,920.0
218,1275.0,1189.0,965.0,1378.0,913.0
219,1273.0,1183.0,965.0,1373.0,917.0
220,1277.0,1193.0,970.0,1371.0,917.0
221,1273.0,1190.0,962.0,1371.0,909.0
222,1281.0,1191.0,967.0,1363.0,912.0
223,1282.0,1198.0,968.0,1374.0,919.0
224,1275.0,1188.0,966.0,1371.0,913.0
225,1274.0,1185.0,966.0,1374.0,919.0
226,1276.0,1184.0,965.0,1376.0,911.0
227,1274.0,1185.0,972.0,1372.0,919.0
228,1277.0,1190.0,964.0,1383.0,913.0
229,1269.0,1189.0,964.0,1370.0,919.0
230,1273.0,1182.0,967.0,1371.0,915.0
231,1275.0,1184.0,963.0,1369.0,920.0
232,1274.0,1184.0,966.0,1376.0,920.0
233,1282.0,1187.0,962.0,1370.0,915.0
234,1269.0,1198.0,967.0,1372.0,914.0
235,1282.0,1189.0,965.0,1374.0,921.0
236,1287.0,1193.0,986.0,1368.0,922.0
237,1284.0,1198.0,974.0,1378.0,920.0
238,1279.0,1186.0,964.0,1385.0,923.0
239,1277.0,1194.0,968.0,1379.0,923.0
240,1287.0,1184.0,974.0,1374.0,919.0
241,1275.0,1185.0,966.0,1377.0,916.0
242,1272.0,1182.0,965.0,1371.0,914.0
243,1275.0,1180.0,961.0,1375.0,918.0
244,1277.0,1193.0,965.0,1373.0,918.0
245,1276.0,1182.0,972.0,1373.0,917.0
246,1278.0,1187.0,973.0,1382.0,915.0
247,1273.0,1187.0,966.0,1374.0,916.0
248,1276.0,1186.0,965.0,1376.0,918.0
249,1277.0,1184.0,964.0,1370.0,911.0
250,1277.0,1185.0,961.0,1374.0,924.0
251,1279.0,1189.0,960.0,1369.0,923.0
252,1275.0,1192.0,967.0,1373.0,913.0
253,1273.0,1184.0,965.0,1377.0,910.0
254,1276.0,1182.0,965.0,1368.0,909.0
255,1273.0,1185.0,964.0,1377.0,918.0
256,1277.0,1188.0,961.0,1371.0,913.0
257,1270.0,1188.0,964.0,1370.0,910.0
258,1278.0,1186.0,960.0,1375.0,908.0
259,1277.0,1186.0,965.0,1368.0,915.0
260,1273.0,1186.0,966.0,1370.0,914.0
261,1272.0,1187.0,963.0,1376.0,918.0
262,1272.0,1189.0,965.0,1374.0,913.0
263,1277.0,1192.0,970.0,1372.0,921.0
264,1272.0,1195.0,973.0,1369.0,919.0
265,1278.0,1189.0,970.0,1373.0,915.0
266,1275.0,1186.0,964.0,1378.0,908.0
267,1274.0,1190.0,968.0,1373.0,915.0
268,1277.0,1183.0,963.0,1375.0,910.0
269,1274.0,1183.0,967.0,1377.0,911.0
270,1270.0,1181.0,963.0,1372.0,912.0
271,1269.0,1186.0,962.0,1371.0,913.0
272,1272.0,1187.0,965.0,1369.0,912.0
273,1275.0,1181.0,966.0,1373.0,919.0
274,1278.0,1182.0,964.0,1377.0,912.0
275,1272.0,1191.0,969.0,1366.0,920.0
276,1277.0,1190.0,966.0,1373.0,914.0
277,1278.0,1185.0,970.0,1374.0,909.0
278,1269.0,1187.0,961.0,1374.0,914.0
279,1276.0,1184.0,970.0,1372.0,916.0
280,1272.0,1185.0,961.0,1368.0,913.0
281,1269.0,1190.0,963.0,1371.0,914.0
282,1272.0,1182.0,966.0,1370.0,916.0
283,1273.0,1189.0,968.0,1368.0,913.0
284,1273.0,1188.0,962.0,1366.0,912.0
285,1275.0,1188.0,961.0,1371.0,914.0
286,1271.0,1182.0,965.0,1372.0,913.0
287,1276.0,1180.0,966.0,1374.0,917.0
288,1268.0,1180.0,963.0,1366.0,915.0
289,1275.0,1181.0,963.0,1376.0,913.0
290,1275.0,1185.0,958.0,1372.0,919.0
291,1278.0,1178.0,963.0,1369.0,911.0
292,1278.0,1186.0,968.0,1366.0,912.0
293,1274.0,1186.0,962.0,1367.0,909.0
294,1275.0,1187.0,963.0,1373.0,910.0
295,1276.0,1187.0,960.0,1373.0,912.0
296,1271.0,1182.0,966.0,1369.0,912.0
297,1278.0,1188.0,963.0,1372.0,914.0
298,1273.0,1184.0,965.0,1369.0,912.0
299,1274.0,1184.0,964.0,1373.0,911.0
300,1274.0,1188.0,961.0,1367.0,915.0
301,1277.0,1186.0,966.0,1370.0,910.0
302,1271.0,1186.0,960.0,1369.0,913.0
303,1274.0,1187.0,960.0,1372.0,909.0
304,1280.0,1191.0,959.0,1379.0,911.0
305,1272.0,1187.0,962.0,1370.0,912.0
306,1268.0,1184.0,956.0,1371.0,910.0
307,1271.0,1183.0,963.0,1377.0,910.0
308,1278.0,1182.0,963.0,1367.0,910.0
309,1270.0,1186.0,958.0,1371.0,913.0
310,1268.0,1181.0,960.0,1371.0,908.0
311,1275.0,1189.0,961.0,1371.0,914.0
312,1275.0,1184.0,960.0,1369.0,912.0
313,1270.0,1181.0,958.0,1371.0,910.0
314,1274.0,1183.0,961.0,1373.0,909.0
315,1268.0,1185.0,958.0,1367.0,908.0
316,1272.0,1191.0,964.0,1365.0,908.0
317,1274.0,1182.0,961.0,1372.0,906.0
318,1280.0,1187.0,965.0,1371.0,911.0
319,1278.0,1179.0,965.0,1373.0,910.0
320,1273.0,1186.0,958.0,1373.0,907.0
321,1274.0,1183.0,960.0,1368.0,911.0
322,1272.0,1185.0,961.0,1369.0,907.0
323,1273.0,1182.0,958.0,1368.0,912.0
324,1272.0,1182.0,963.0,1364.0,912.0
325,1270.0,1184.0,960.0,1366.0,909.0
326,1275.0,1182.0,964.0,1363.0,914.0
327,1267.0,1182.0,961.0,1372.0,909.0
328,1266.0,1179.0,958.0,1370.0,908.0
329,1268.0,1183.0,957.0,1367.0,915.0
330,1276.0,1180.0,958.0,1366.0,909.0
331,1274.0,1182.0,960.0,1369.0,911.0
332,1270.0,1184.0,961.0,1368.0,910.0
333,1268.0,1180.0,960.0,1368.0,910.0
334,1274.0,1182.0,959.0,1364.0,910.0
335,1267.0,1186.0,955.0,1375.0,908.0
336,1268.0,1181.0,964.0,1366.0,909.0
337,1276.0,1193.0,961.0,1365.0,909.0
338,1271.0,1181.0,965.0,1373.0,912.0
339,1271.0,1186.0,965.0,1368.0,914.0
340,1272.0,1182.0,962.0,1365.0,914.0
341,1275.0,1185.0,966.0,1373.0,915.0
342,1278.0,1190.0,962.0,1370.0,914.0
343,1270.0,1182.0,966.0,1368.0,913.0
344,1268.0,1183.0,957.0,1367.0,910.0
345,1271.0,1179.0,957.0,1364.0,913.0
346,1269.0,1183.0,960.0,1370.0,910.0
347,1271.0,1189.0,959.0,1367.0,903.0
348,1270.0,1183.0,962.0,1380.0,913.0
349,1267.0,1189.0,961.0,1368.0,908.0
350,1273.0,1188.0,962.0,1369.0,916.0
351,1271.0,1186.0,967.0,1367.0,913.0
352,1277.0,1185.0,965.0,1369.0,911.0
353,1273.0,1187.0,966.0,1372.0,912.0
354,1271.0,1188.0,963.0,1375.0,908.0
355,1267.0,1182.0,959.0,1366.0,907.0
356,1267.0,1184.0,961.0,1366.0,913.0
357,1272.0,1180.0,956.0,1364.0,913.0
358,1272.0,1184.0,960.0,1366.0,910.0
359,1272.0,1182.0,955.0,1367.0,910.0
360,1270.0,1179.0,957.0,1367.0,909.0
361,1270.0,1183.0,960.0,1365.0,913.0
362,1270.0,1179.0,960.0,1366.0,912.0
363,1268.0,1186.0,964.0,1369.0,910.0
364,1268.0,1187.0,960.0,1367.0,909.0
365,1276.0,1182.0,960.0,1365.0,906.0
366,1266.0,1180.0,957.0,1363.0,911.0
367,1267.0,1184.0,958.0,1366.0,910.0
368,1272.0,1183.0,957.0,1368.0,908.0
369,1272.0,1183.0,960.0,1369.0,910.0
370,1271.0,1184.0,970.0,1367.0,908.0
371,1271.0,1185.0,959.0,1374.0,910.0
372,1275.0,1184.0,958.0,1375.0,907.0
373,1270.0,1188.0,956.0,1368.0,912.0
374,1267.0,1185.0,957.0,1368.0,906.0
375,1267.0,1178.0,964.0,1366.0,914.0
376,1271.0,1179.0,956.0,1375.0,909.0
377,1266.0,1184.0,956.0,1369.0,907.0
378,1268.0,1182.0,955.0,1366.0,908.0
379,1266.0,1181.0,961.0,1364.0,906.0
380,1264.0,1183.0,956.0,1363.0,907.0
381,1266.0,1181.0,958.0,1366.0,909.0
382,1267.0,1181.0,958.0,1368.0,910.0
383,1270.0,1178.0,956.0,1368.0,908.0
384,1265.0,1178.0,960.0,1365.0,907.0
385,1268.0,1177.0,959.0,1368.0,906.0
386,1273.0,1185.0,959.0,1369.0,911.0
387,1266.0,1185.0,960.0,1366.0,906.0
388,1267.0,1183.0,960.0,1367.0,905.0
389,1269.0,1180.0,957.0,1367.0,909.0
390,1271.0,1178.0,954.0,1368.0,908.0
391,1272.0,1176.0,959.0,1365.0,906.0
392,1269.0,1181.0,959.0,1370.0,906.0
393,1266.0,1183.0,962.0,1365.0,906.0
394,1266.0,1183.0,958.0,1368.0,908.0
395,1269.0,1181.0,955.0,1370.0,912.0
396,1269.0,1181.0,961.0,1367.0,904.0
397,1271.0,1181.0,961.0,1364.0,908.0
398,1267.0,1183.0,962.0,1364.0,904.0
399,1270.0,1181.0,958.0,1362.0,909.0
400,1271.0,1183.0,957.0,1366.0,909.0
401,1266.0,1181.0,959.0,1366.0,912.0
402,1267.0,1184.0,957.0,1362.0,908.0
403,1271.0,1182.0,955.0,1371.0,907.0
404,1271.0,1179.0,958.0,1368.0,911.0
405,1270.0,1183.0,957.0,1364.0,907.0
406,1269.0,1179.0,957.0,1367.0,910.0
407,1272.0,1182.0,960.0,1367.0,911.0
408,1271.0,1187.0,960.0,1368.0,907.0
409,1266.0,1178.0,965.0,1366.0,909.0
410,1267.0,1181.0,960.0,1373.0,911.0
411,1273.0,1185.0,961.0,1367.0,906.0
412,1267.0,1181.0,959.0,1367.0,908.0
413,1271.0,1179.0,956.0,1364.0,909.0
414,1265.0,1186.0,957.0,1366.0,907.0
415,1273.0,1181.0,959.0,1370.0,908.0
416,1270.0,1183.0,957.0,1367.0,911.0
417,1271.0,1181.0,960.0,1365.0,909.0
418,1272.0,1181.0,959.0,1368.0,912.0
419,1267.0,1186.0,961.0,1363.0,912.0
420,1274.0,1181.0,962.0,1364.0,907.0
421,1276.0,1181.0,958.0,1371.0,910.0
422,1267.0,1184.0,956.0,1369.0,911.0
423,1268.0,1183.0,958.0,1367.0,908.0
424,1269.0,1180.0,957.0,1364.0,911.0
425,1270.0,1184.0,959.0,1366.0,906.0
426,1268.0,1182.0,961.0,1366.0,910.0
427,1268.0,1185.0,960.0,1377.0,918.0
428,1266.0,1181.0,959.0,1366.0,909.0
429,1271.0,1177.0,961.0,1367.0,904.0
430,1272.0,1181.0,959.0,1363.0,912.0
431,1269.0,1180.0,964.0,1366.0,909.0
432,1269.0,1177.0,955.0,1368.0,910.0
433,1272.0,1186.0,955.0,1364.0,906.0
434,1266.0,1184.0,958.0,1368.0,908.0
435,1269.0,1176.0,962.0,1367.0,909.0
436,1269.0,1177.0,960.0,1368.0,906.0
437,1271.0,1181.0,959.0,1367.0,911.0
438,1270.0,1181.0,958.0,1367.0,905.0
439,1267.0,1180.0,957.0,1364.0,907.0
440,1270.0,1181.0,962.0,1371.0,908.0
441,1276.0,1186.0,961.0,1363.0,908.0
442,1273.0,1178.0,958.0,1366.0,908.0
443,1270.0,1184.0,957.0,1369.0,920.0
444,1274.0,1179.0,959.0,1368.0,911.0
445,1275.0,1189.0,957.0,1366.0,904.0
446,1270.0,1180.0,958.0,1378.0,908.0
447,1271.0,1179.0,955.0,1366.0,906.0
448,1271.0,1184.0,962.0,1366.0,903.0
449,1267.0,1183.0,957.0,1363.0,907.0
450,1266.0,1178.0,956.0,1363.0,908.0
451,1266.0,1179.0,957.0,1363.0,904.0
452,1266.0,1181.0,961.0,1366.0,912.0
453,1270.0,1180.0,960.0,1365.0,908.0
454,1268.0,1185.0,960.0,1369.0,909.0
455,1272.0,1179.0,960.0,1364.0,906.0
456,1267.0,1181.0,957.0,1368.0,905.0
457,1269.0,1184.0,960.0,1366.0,908.0
458,1266.0,1184.0,959.0,1365.0,910.0
459,1268.0,1182.0,956.0,1367.0,903.0
460,1268.0,1178.0,960.0,1367.0,908.0
461,1272.0,1182.0,954.0,1363.0,904.0
462,1269.0,1179.0,960.0,1363.0,908.0
463,1270.0,1178.0,954.0,1367.0,910.0
464,1267.0,1176.0,958.0,1362.0,908.0
465,1267.0,1177.0,957.0,1362.0,906.0
466,1272.0,1180.0,957.0,1362.0,907.0
467,1267.0,1181.0,956.0,1365.0,912.0
468,1268.0,1179.0,959.0,1372.0,908.0
469,1269.0,1179.0,956.0,1365.0,906.0
470,1272.0,1178.0,956.0,1362.0,912.0
471,1274.0,1184.0,956.0,1373.0,909.0
472,1266.0,1182.0,957.0,1366.0,911.0
473,1268.0,1182.0,956.0,1370.0,908.0
474,1265.0,1181.0,960.0,1367.0,905.0
475,1267.0,1180.0,957.0,1365.0,906.0
476,1264.0,1181.0,958.0,1365.0,909.0
477,1265.0,1180.0,961.0,1363.0,909.0
478,1267.0,1180.0,957.0,1364.0,909.0
479,1268.0,1179.0,962.0,1368.0,907.0
480,1269.0,1178.0,959.0,1363.0,907.0
481,1269.0,1178.0,963.0,1363.0,907.0
482,1269.0,1181.0,955.0,1362.0,905.0
483,1271.0,1185.0,954.0,1367.0,912.0
484,1266.0,1180.0,960.0,1366.0,905.0
485,1272.0,1182.0,955.0,1368.0,912.0
486,1268.0,1179.0,960.0,1364.0,909.0
487,1270.0,1180.0,957.0,1365.0,912.0
488,1272.0,1179.0,957.0,1364.0,905.0
489,1263.0,1182.0,965.0,1362.0,909.0
490,1268.0,1179.0,956.0,1363.0,907.0
491,1270.0,1184.0,955.0,1367.0,905.0
492,1276.0,1178.0,959.0,1367.0,909.0
493,1273.0,1181.0,954.0,1368.0,909.0
494,1273.0,1183.0,959.0,1366.0,909.0
495,1268.0,1180.0,960.0,1368.0,914.0
496,1268.0,1183.0,960.0,1368.0,906.0
497,1265.0,1177.0,957.0,1366.0,909.0
498,1266.0,1179.0,958.0,1365.0,908.0
499,1267.0,1178.0,958.0,1366.0,905.0
500,1268.0,1178.0,957.0,1371.0,906.0
501,1270.0,1179.0,959.0,1367.0,908.0
502,1271.0,1177.0,956.0,1369.0,906.0
503,1271.0,1177.0,958.0,1368.0,905.0
504,1272.0,1182.0,958.0,1371.0,910.0
505,1270.0,1179.0,955.0,1365.0,909.0
506,1271.0,1184.0,956.0,1369.0,907.0
507,1272.0,1182.0,961.0,1362.0,903.0
508,1273.0,1183.0,963.0,1367.0,906.0
509,1274.0,1186.0,961.0,1373.0,906.0
510,1273.0,1180.0,958.0,1373.0,910.0
511,1267.0,1179.0,958.0,1371.0,912.0
512,1271.0,1184.0,957.0,1369.0,907.0
513,1268.0,1181.0,956.0,1362.0,908.0
514,1270.0,1179.0,957.0,1365.0,907.0
515,1266.0,1185.0,958.0,1367.0,910.0
516,1270.0,1185.0,959.0,1364.0,906.0
517,1268.0,1178.0,961.0,1372.0,904.0
518,1269.0,1178.0,959.0,1366.0,913.0
519,1267.0,1181.0,960.0,1366.0,910.0
520,1271.0,1184.0,962.0,1368.0,906.0
521,1270.0,1182.0,956.0,1368.0,912.0
522,1272.0,1184.0,960.0,1369.0,906.0
523,1265.0,1178.0,958.0,1363.0,907.0
524,1267.0,1178.0,959.0,1371.0,907.0
525,1266.0,1181.0,956.0,1366.0,907.0
526,1271.0,1179.0,954.0,1362.0,908.0
527,1268.0,1177.0,960.0,1366.0,906.0
528,1272.0,1179.0,958.0,1366.0,910.0
529,1268.0,1178.0,958.0,1365.0,906.0
530,1268.0,1182.0,958.0,1364.0,910.0
531,1268.0,1178.0,956.0,1366.0,909.0
532,1266.0,1178.0,961.0,1365.0,914.0
533,1268.0,1182.0,958.0,1366.0,906.0
534,1270.0,1182.0,956.0,1365.0,904.0
535,1266.0,1179.0,957.0,1363.0,910.0
536,1268.0,1182.0,956.0,1363.0,906.0
537,1269.0,1180.0,960.0,1364.0,908.0
538,1268.0,1182.0,959.0,1362.0,908.0
539,1271.0,1184.0,960.0,1364.0,906.0
540,1272.0,1181.0,955.0,1367.0,906.0
541,1270.0,1181.0,958.0,1365.0,905.0
542,1268.0,1178.0,955.0,1366.0,908.0
543,1268.0,1177.0,956.0,1364.0,910.0
544,1263.0,1176.0,958.0,1363.0,905.0
545,1268.0,1178.0,955.0,1361.0,905.0
546,1269.0,1180.0,958.0,1364.0,904.0
547,1266.0,1181.0,957.0,1365.0,907.0
548,1266.0,1178.0,958.0,1374.0,905.0
549,1269.0,1182.0,954.0,1362.0,906.0
550,1266.0,1176.0,954.0,1366.0,905.0
551,1269.0,1178.0,955.0,1365.0,907.0
552,1264.0,1178.0,955.0,1367.0,904.0
553,1267.0,1178.0,957.0,1364.0,904.0
554,1269.0,1176.0,957.0,1364.0,906.0
