,b1,b2,b3,b4,b5
370,574.0,525.0,458.0,626.0,420.0
371,576.0,520.0,463.0,621.0,416.0
372,577.0,515.0,462.0,629.0,420.0
373,575.0,519.0,463.0,625.0,417.0
374,574.0,518.0,462.0,624.0,420.0
375,573.0,517.0,459.0,621.0,420.0
376,573.0,515.0,465.0,620.0,417.0
377,574.0,514.0,461.0,621.0,415.0
378,570.0,515.0,461.0,624.0,417.0
379,570.0,514.0,458.0,620.0,417.0
380,576.0,519.0,459.0,622.0,416.0
381,572.0,514.0,458.0,621.0,417.0
382,571.0,515.0,459.0,624.0,417.0
383,571.0,517.0,460.0,619.0,418.0
384,573.0,517.0,460.0,622.0,420.0
385,575.0,515.0,460.0,623.0,418.0
386,572.0,516.0,462.0,624.0,417.0
387,574.0,516.0,460.0,621.0,419.0
388,575.0,515.0,459.0,622.0,417.0
389,570.0,518.0,459.0,620.0,419.0
390,574.0,516.0,459.0,622.0,418.0
391,575.0,518.0,460.0,622.0,418.0
392,575.0,515.0,458.0,623.0,418.0
393,575.0,516.0,458.0,620.0,420.0
394,578.0,516.0,460.0,627.0,418.0
395,575.0,517.0,459.0,624.0,419.0
396,576.0,519.0,462.0,624.0,417.0
397,575.0,517.0,463.0,623.0,419.0
398,575.0,521.0,463.0,626.0,418.0
399,573.0,521.0,460.0,622.0,418.0
400,578.0,518.0,462.0,630.0,421.0
401,578.0,519.0,461.0,621.0,418.0
402,573.0,518.0,461.0,624.0,419.0
403,575.0,519.0,460.0,629.0,421.0
404,571.0,516.0,460.0,625.0,416.0
405,574.0,517.0,458.0,621.0,416.0
406,572.0,517.0,460.0,623.0,418.0
407,573.0,513.0,459.0,623.0,420.0
408,572.0,517.0,459.0,621.0,415.0
409,570.0,515.0,460.0,621.0,418.0
410,572.0,514.0,459.0,620.0,420.0
411,572.0,518.0,458.0,622.0,415.0
412,571.0,518.0,457.0,622.0,416.0
413,573.0,514.0,460.0,620.0,415.0
414,572.0,514.0,458.0,621.0,416.0
415,572.0,519.0,459.0,620.0,418.0
416,571.0,514.0,457.0,621.0,415.0
417,576.0,515.0,461.0,625.0,417.0
418,572.0,513.0,460.0,622.0,415.0
419,572.0,514.0,459.0,622.0,416.0
420,574.0,515.0,457.0,621.0,417.0
421,572.0,513.0,458.0,620.0,416.0
422,572.0,513.0,457.0,618.0,415.0
423,573.0,516.0,458.0,620.0,418.0
424,575.0,515.0,460.0,622.0,417.0
425,570.0,514.0,458.0,620.0,416.0
426,575.0,515.0,458.0,618.0,415.0
427,575.0,513.0,459.0,618.0,416.0
428,570.0,514.0,458.0,620.0,415.0
429,572.0,513.0,457.0,619.0,415.0
430,571.0,515.0,458.0,621.0,415.0
431,571.0,514.0,459.0,620.0,415.0
432,571.0,514.0,459.0,618.0,416.0
433,571.0,515.0,457.0,618.0,416.0
434,571.0,515.0,457.0,618.0,415.0
435,570.0,514.0,459.0,620.0,416.0
436,571.0,515.0,459.0,619.0,416.0
437,571.0,514.0,458.0,620.0,415.0
438,572.0,515.0,457.0,620.0,415.0
439,570.0,514.0,457.0,619.0,416.0
440,572.0,514.0,457.0,618.0,416.0
441,571.0,516.0,459.0,618.0,416.0
