,DeployT,Timeg
414,2015-01-01 12:00:00,91
415,2015-01-01 12:00:00,69
416,2015-01-01 12:00:00,614
417,2015-01-01 12:00:00,92
418,2015-01-01 12:00:00,218
419,2015-01-01 12:00:00,434
420,2015-01-01 12:00:00,157
421,2015-01-01 12:00:00,62
422,2015-01-01 12:00:00,131
423,2015-01-01 12:00:00,200
424,2015-01-01 12:00:00,105
425,2015-01-01 12:00:00,112
426,2015-01-01 12:00:00,323
427,2015-01-01 12:00:00,148
428,2015-01-01 12:00:00,68
429,2015-01-01 12:00:00,35
430,2015-01-01 12:00:00,124
431,2015-01-01 12:00:00,92
432,2015-01-01 12:00:00,134
433,2015-01-01 12:00:00,60
434,2015-01-01 12:00:00,213
435,2015-01-01 12:00:00,104
436,2015-01-01 12:00:00,63
437,2015-01-01 12:00:00,152
438,2015-01-01 12:00:00,101
439,2015-01-01 12:00:00,135
440,2015-01-01 12:00:00,90
441,2015-01-01 12:00:00,50
442,2015-01-01 12:00:00,572
443,2015-01-01 12:00:00,104
444,2015-01-01 12:00:00,105
445,2015-01-01 12:00:00,115
446,2015-01-01 12:00:00,211
447,2015-01-01 12:00:00,223
448,2015-01-01 12:00:00,171
449,2015-01-01 12:00:00,71
450,2015-01-01 12:00:00,114
451,2015-01-01 12:00:00,69
452,2015-01-01 12:00:00,102
453,2015-01-01 12:00:00,127
454,2015-01-01 12:00:00,54
455,2015-01-01 12:00:00,0
456,2015-01-01 12:00:00,136
457,2015-01-01 12:00:00,416
458,2015-01-01 12:00:00,132
459,2015-01-01 12:00:00,292
460,2015-01-01 12:00:00,420
461,2015-01-01 12:00:00,214
462,2015-01-01 12:00:00,48
463,2015-01-01 12:00:00,52
464,2015-01-01 12:00:00,203
465,2015-01-01 12:00:00,144
466,2015-01-01 12:00:00,114
467,2015-01-01 12:00:00,50
468,2015-01-01 12:00:00,334
469,2015-01-01 12:00:00,52
470,2015-01-01 12:00:00,82
471,2015-01-01 12:00:00,120
472,2015-01-01 12:00:00,200
473,2015-01-01 12:00:00,53
474,2015-01-01 12:00:00,688
475,2015-01-01 12:00:00,51
476,2015-01-01 12:00:00,261
477,2015-01-01 12:00:00,133
478,2015-01-01 12:00:00,93
479,2015-01-01 12:00:00,94
480,2015-01-01 12:00:00,127
481,2015-01-01 12:00:00,54
482,2015-01-01 12:00:00,145
483,2015-01-01 12:00:00,56
484,2015-01-01 12:00:00,51
485,2015-01-01 12:00:00,60
486,2015-01-01 12:00:00,84
487,2015-01-01 12:00:00,56
488,2015-01-01 12:00:00,91
489,2015-01-01 12:00:00,52
490,2015-01-01 12:00:00,77
491,2015-01-01 12:00:00,141
492,2015-01-01 12:00:00,55
493,2015-01-01 12:00:00,102
494,2015-01-01 12:00:00,653
495,2015-01-01 12:00:00,99
496,2015-01-01 12:00:00,349
497,2015-01-01 12:00:00,456
498,2015-01-01 12:00:00,142
499,2015-01-01 12:00:00,87
500,2015-01-01 12:00:00,153
