,b1,b2,b3,b4,b5
405,457.0,419.0,393.0,469.0,367.0
406,454.0,419.0,395.0,466.0,369.0
407,457.0,420.0,395.0,469.0,366.0
408,455.0,417.0,394.0,468.0,370.0
409,455.0,417.0,393.0,468.0,368.0
410,454.0,419.0,394.0,470.0,367.0
411,455.0,419.0,394.0,468.0,369.0
412,453.0,417.0,392.0,467.0,367.0
413,454.0,419.0,393.0,468.0,366.0
414,455.0,418.0,393.0,468.0,366.0
415,454.0,419.0,395.0,467.0,367.0
416,455.0,418.0,396.0,467.0,367.0
417,455.0,417.0,395.0,469.0,370.0
418,456.0,420.0,395.0,474.0,368.0
419,455.0,418.0,393.0,471.0,367.0
420,456.0,423.0,394.0,471.0,366.0
421,457.0,419.0,393.0,470.0,367.0
422,453.0,417.0,392.0,468.0,367.0
423,454.0,418.0,392.0,468.0,366.0
424,454.0,421.0,392.0,468.0,369.0
425,454.0,419.0,393.0,472.0,369.0
426,455.0,418.0,392.0,467.0,366.0
427,455.0,418.0,394.0,467.0,366.0
428,454.0,417.0,393.0,467.0,367.0
429,455.0,419.0,393.0,466.0,367.0
430,453.0,417.0,392.0,466.0,367.0
431,454.0,420.0,392.0,467.0,368.0
432,453.0,417.0,392.0,467.0,367.0
433,453.0,417.0,394.0,467.0,366.0
434,454.0,418.0,392.0,468.0,368.0
435,453.0,420.0,393.0,469.0,367.0
436,457.0,419.0,392.0,466.0,366.0
437,454.0,417.0,392.0,467.0,367.0
438,454.0,419.0,393.0,468.0,367.0
439,454.0,417.0,392.0,468.0,367.0
440,454.0,417.0,392.0,466.0,367.0
441,453.0,420.0,393.0,468.0,367.0
442,453.0,418.0,393.0,467.0,366.0
443,453.0,418.0,393.0,469.0,367.0
444,455.0,418.0,392.0,466.0,366.0
445,453.0,417.0,393.0,468.0,366.0
446,454.0,418.0,393.0,468.0,366.0
447,456.0,420.0,392.0,468.0,367.0
448,454.0,417.0,393.0,466.0,367.0
449,455.0,417.0,394.0,468.0,367.0
450,454.0,417.0,392.0,467.0,366.0
451,453.0,418.0,392.0,467.0,366.0
452,454.0,419.0,394.0,467.0,366.0
453,454.0,419.0,393.0,467.0,367.0
454,455.0,417.0,392.0,469.0,366.0
455,454.0,420.0,393.0,466.0,367.0
456,454.0,419.0,393.0,466.0,366.0
457,453.0,417.0,393.0,467.0,367.0
458,453.0,417.0,393.0,467.0,366.0
459,454.0,420.0,392.0,466.0,366.0
460,454.0,419.0,395.0,466.0,366.0
461,454.0,419.0,393.0,466.0,366.0
462,455.0,417.0,392.0,469.0,366.0
463,455.0,417.0,393.0,466.0,366.0
464,454.0,417.0,392.0,466.0,366.0
465,453.0,417.0,394.0,469.0,366.0
466,457.0,417.0,393.0,467.0,367.0
467,455.0,417.0,392.0,467.0,366.0
468,455.0,419.0,393.0,470.0,367.0
469,454.0,418.0,392.0,466.0,367.0
470,454.0,418.0,393.0,468.0,366.0
471,453.0,417.0,392.0,467.0,366.0
472,453.0,418.0,392.0,468.0,367.0
473,456.0,417.0,393.0,467.0,368.0
474,454.0,417.0,392.0,466.0,366.0
475,453.0,417.0,392.0,467.0,366.0
476,453.0,418.0,393.0,467.0,366.0
477,453.0,418.0,393.0,467.0,368.0
478,453.0,417.0,393.0,467.0,366.0
479,454.0,418.0,392.0,466.0,366.0
480,453.0,417.0,392.0,467.0,366.0
481,453.0,418.0,394.0,467.0,366.0
482,453.0,417.0,393.0,467.0,366.0
483,455.0,417.0,392.0,466.0,366.0
484,453.0,418.0,392.0,467.0,366.0
485,454.0,417.0,393.0,467.0,367.0
486,453.0,417.0,392.0,466.0,366.0
487,453.0,417.0,392.0,466.0,367.0
488,454.0,418.0,392.0,466.0,366.0
489,454.0,418.0,393.0,466.0,366.0
490,456.0,418.0,393.0,468.0,366.0
491,453.0,417.0,393.0,467.0,367.0
492,453.0,418.0,393.0,466.0,367.0
493,453.0,417.0,393.0,466.0,366.0
494,453.0,417.0,392.0,466.0,366.0
495,453.0,417.0,392.0,467.0,366.0
496,454.0,417.0,393.0,467.0,366.0
497,455.0,418.0,393.0,467.0,366.0
498,453.0,417.0,392.0,467.0,366.0
499,453.0,418.0,393.0,466.0,366.0
500,453.0,418.0,393.0,466.0,367.0
501,453.0,418.0,393.0,467.0,368.0
502,453.0,417.0,393.0,466.0,367.0
503,453.0,417.0,392.0,466.0,366.0
504,453.0,417.0,393.0,466.0,366.0
505,453.0,418.0,392.0,466.0,366.0
506,454.0,417.0,393.0,466.0,366.0
507,455.0,419.0,392.0,467.0,366.0
508,456.0,418.0,393.0,467.0,366.0
509,455.0,417.0,392.0,467.0,366.0
510,453.0,417.0,395.0,468.0,368.0
511,455.0,421.0,392.0,466.0,366.0
512,454.0,418.0,394.0,471.0,366.0
513,453.0,418.0,392.0,466.0,366.0
514,453.0,417.0,394.0,466.0,366.0
515,453.0,417.0,393.0,467.0,366.0
516,454.0,418.0,392.0,468.0,366.0
517,455.0,417.0,396.0,467.0,366.0
518,454.0,418.0,393.0,466.0,366.0
519,454.0,417.0,392.0,466.0,366.0
520,454.0,417.0,392.0,467.0,367.0
521,455.0,417.0,393.0,466.0,368.0
522,453.0,417.0,392.0,466.0,366.0
523,453.0,418.0,392.0,467.0,366.0
524,453.0,417.0,392.0,466.0,366.0
525,453.0,418.0,392.0,468.0,366.0
526,453.0,418.0,392.0,468.0,366.0
527,454.0,417.0,392.0,467.0,366.0
528,453.0,417.0,393.0,466.0,366.0
529,453.0,417.0,392.0,466.0,366.0
530,455.0,417.0,393.0,466.0,366.0
531,454.0,418.0,393.0,467.0,366.0
532,454.0,417.0,392.0,467.0,367.0
533,453.0,419.0,392.0,466.0,366.0
534,453.0,418.0,392.0,468.0,366.0
535,454.0,417.0,394.0,469.0,367.0
536,454.0,418.0,392.0,466.0,367.0
537,454.0,419.0,392.0,469.0,366.0
538,454.0,418.0,392.0,466.0,366.0
539,453.0,417.0,392.0,468.0,367.0
540,453.0,417.0,393.0,466.0,367.0
541,454.0,417.0,393.0,469.0,366.0
542,453.0,417.0,393.0,468.0,366.0
543,453.0,418.0,394.0,467.0,366.0
544,454.0,417.0,393.0,467.0,366.0
545,454.0,417.0,392.0,467.0,366.0
546,454.0,417.0,392.0,466.0,366.0
547,453.0,417.0,393.0,466.0,366.0
548,453.0,417.0,392.0,466.0,366.0
549,453.0,418.0,393.0,466.0,366.0
550,454.0,418.0,392.0,466.0,366.0
551,454.0,417.0,392.0,467.0,368.0
552,454.0,417.0,392.0,466.0,366.0
553,454.0,417.0,392.0,466.0,366.0
