,IN,Phy,ON,HBac,Zoo
2023-04-06,60552427345978.55,1175914967675.0605,2162401258696.529,385586566669.7601,1442441891594.58
2023-04-07,60300341748457.33,1011037198820.315,2252878663197.843,393103953712.0779,1485233174513.9888
2023-04-08,59938380209383.7,951338674521.9747,2334168833851.549,401519943042.2516,1504043460613.5498
2023-04-09,59680770214818.89,841905054045.5154,2409754755081.916,411322532937.7867,1540081664119.8242
2023-04-10,59506429192370.79,738109113168.3597,2463192904360.6973,421544745812.33514,1570348241079.9504
2023-04-11,59423016270694.64,699442879398.7817,2496987510301.5557,433040687178.2131,1564705099319.4292
2023-04-12,59420815669724.77,684042902234.8452,2507431483056.663,445038516485.9657,1559961357606.574
2023-04-13,59415400949038.555,723180723938.9961,2503834600574.3965,457230781665.4743,1538853037610.9895
2023-04-14,59431422359495.14,730586197050.2008,2489858792187.0137,468698006076.7546,1533576600215.5193
2023-04-15,59371415965216.055,791333807175.4801,2468588077956.955,479574690713.54926,1510998653500.3806
2023-04-16,59324343966026.695,760137694897.0876,2449717455345.8105,489575103155.3622,1527669266813.651
2023-04-17,59238650472457.47,706482626311.9625,2421542670474.1353,498055471552.02594,1552796451837.459
2023-04-18,59108847620552.516,679925095938.3418,2393936413949.5435,506416095242.2506,1570288235590.3057
2023-04-19,58989122725194.74,669074127466.8408,2367757123597.014,514857916477.33105,1585820125035.9
2023-04-20,58926155808408.336,661774398525.4434,2345504484944.7183,523770812185.7474,1607249365637.9336
2023-04-21,58860494426245.09,628212074206.7753,2325617831070.458,532879024482.43085,1648564838217.9414
2023-04-22,58886431824872.9,611252521976.8776,2301734761129.088,542991619214.94574,1675196285723.973
2023-04-23,58996721071166.016,581015501076.6434,2270451706060.0757,552851806504.9121,1705066945585.762
2023-04-24,59122637085438.84,556531521949.8147,2231046336093.563,562223998303.1891,1733026305144.8774
2023-04-25,59209958563142.86,575953117726.417,2190864574685.544,571773252367.0092,1733816584976.0168
2023-04-26,59214252801642.46,646937813479.0096,2155028862604.2751,580490762586.3375,1703727728602.3057
2023-04-27,59242330466556.195,681742608197.4692,2124840742228.5664,588632221904.1609,1697294099500.3943
2023-04-28,59197101253667.84,779154940248.0977,2099339237697.0417,595751758354.8357,1662121769497.6372
2023-04-29,59099990786951.086,908841022085.1266,2084004895298.144,601984580956.9247,1625013927792.9126
2023-04-30,58942819669292.445,1047849838438.3809,2083093755363.5098,607619899026.4829,1599599879660.4714
2023-05-01,58841236664151.53,1077497527340.3665,2096594489167.713,613238129374.4303,1614133421093.9307
2023-05-02,58786548629597.98,1101382262382.36,2109224429809.851,617690173458.3007,1631715580107.6306
2023-05-03,58729012526807.836,1144891644526.8354,2125273973015.5635,620511543011.6217,1649523239409.5825
2023-05-04,58629786802245.22,1184866602668.4387,2152184215772.3794,622941156750.8754,1675645667982.6992
2023-05-05,58530747659376.164,1177225016999.4106,2188228388010.875,625616054629.3578,1719292820738.8215
2023-05-06,58566319483582.88,1015411053485.2332,2224079108621.82,628642287030.3293,1801257130577.0664
2023-05-07,58533107992924.67,941142700721.4711,2245770745379.546,631233034471.205,1855870316539.313
2023-05-08,58407145471936.516,935811876176.6702,2266601834826.1807,635191647848.851,1891291853544.9004
2023-05-09,58282379800556.18,931471944238.82,2288139906955.075,640402417435.6263,1924929396177.7566
2023-05-10,58139542410561.26,944845815878.3137,2306868927565.061,646575426749.471,1949402521287.0435
2023-05-11,57985123353048.66,976400501739.7761,2322068239460.008,653089720849.1384,1964525254350.1082
2023-05-12,57848515076765.414,1004183956632.2109,2334050942198.8667,659598342475.94,1977301715999.3638
2023-05-13,57733517605672.34,1029644331065.1335,2341634067279.957,665412060222.5702,1986435938572.3037
2023-05-14,57663890826038.305,1050307392817.4368,2343861263419.2705,669654992246.0411,1990934228391.8623
2023-05-15,57648187111570.984,1065432328235.8555,2340627498255.5747,671763166376.2883,1992648740620.556
2023-05-16,57630189097523.875,1077918963100.0217,2337271136403.9194,673400358768.9318,1997010289848.039
2023-05-17,57579299677239.59,1073981959052.0696,2339308658516.682,676212507180.1489,2013288977702.6172
2023-05-18,57470993130198.42,1079611914597.0966,2348896667523.911,680579807286.8634,2034261320184.1763
2023-05-19,57370624809897.6,1075215672787.2513,2361199251764.092,686162637603.6531,2060466579577.0972
2023-05-20,57247399784157.41,1068720871515.5696,2376948205956.68,693454171847.4167,2088333845748.733
2023-05-21,57139474131707.74,1045539606028.8616,2391379107774.9453,701304606384.4691,2118010634876.0166
2023-05-22,57028500627962.305,988084423903.3412,2401560597278.1367,709728378061.1849,2157293300836.8208
2023-05-23,56913472219522.02,934204127278.1018,2402942301036.012,717769517875.8182,2191557817191.3892
2023-05-24,56796726007888.62,923287796828.5002,2394602599161.4736,725115677582.2112,2198798226841.6611
2023-05-25,56700161600645.16,931740902584.9172,2377082057214.778,731798007891.3872,2188301801428.8735
2023-05-26,56603448435708.34,952674461650.103,2358764069629.7344,738164464182.36,2169108865501.19
2023-05-27,56528831715391.016,969245381695.6954,2338805902708.4575,743965890351.2664,2149337936515.2625
2023-05-28,56511441979037.35,963121236314.0226,2314924523528.1934,748578591323.3088,2134922791400.264
2023-05-29,56492787686353.54,977373907601.2566,2291512641631.547,752750812256.0292,2110908568147.2356
2023-05-30,56530611175428.945,977521792768.8986,2265143895939.172,755735244128.1052,2092157488374.627
2023-05-31,56589529013028.01,984344010079.5443,2235387999556.1064,758141357255.271,2074824909149.3242
2023-06-01,56657023555714.62,984974064099.0579,2206370854492.092,760243791335.4197,2068447723161.3193
2023-06-02,56703094752418.61,980950189956.2924,2179346203932.2095,762943937566.2719,2075106644714.2673
2023-06-03,56730445317844.79,974541123348.0132,2152913348620.4082,766570290210.4424,2088740072685.4287
2023-06-04,56736337411226.42,962719141303.1882,2125927141457.4795,771461474908.7267,2108311180027.5596
2023-06-05,56697835603814.35,962012388941.0231,2099072507879.5977,778083888440.9601,2126952495790.915
2023-06-06,56616098651564.88,973293623678.9849,2073324242512.5454,785528677849.805,2144116957191.8303
2023-06-07,56551457256775.34,988790546587.9684,2044742290390.3457,791958335453.2747,2149359487018.354
2023-06-08,56469105405489.06,1009584167985.9403,2021069637928.1409,799069237618.2207,2146537955083.1785
2023-06-09,56359096206929.78,1023150079498.8807,2002945101188.2725,807331656460.9519,2143617850333.9033
2023-06-10,56356772723796.63,924259503643.3718,1984954872271.86,814917039032.0587,2183668692307.8872
2023-06-11,56519613543224.625,771127305280.1998,1939911844234.2944,816814273505.1558,2239537688718.3604
2023-06-12,56631409795408.45,781592964248.0449,1877497236772.566,814303295284.5934,2206961520632.288
2023-06-13,56775426622131.336,816521084748.5045,1818689959911.497,810275123390.5442,2161449062402.4102
2023-06-14,56968184303444.37,810309720792.5317,1769556089123.0776,806278844868.5732,2140535818664.5903
2023-06-15,57094261673591.52,836236848482.8782,1725220518748.7905,803923222308.2458,2116472749388.1938
2023-06-16,57169037213049.61,870485852589.9915,1688627924432.4727,803541629914.5215,2095654665226.1836
2023-06-17,57284054528532.36,813715939423.6877,1655411154459.3843,805214441711.5997,2117605885109.5378
2023-06-18,57280282060262.75,831194512749.4364,1619108363847.2354,808337231813.1111,2109407212139.6318
2023-06-19,57229374379155.12,840192697125.5664,1586398767965.2954,813523594759.4246,2109779059343.6216
2023-06-20,57190055461594.14,818425976735.96,1552494202222.1821,818896301347.163,2121639864972.8633
2023-06-21,57163395216352.36,792906963116.4805,1511601601289.8142,822934592140.3245,2132255095716.594
2023-06-22,57097943590044.7,818077566018.4368,1472399195874.6973,825939366316.8406,2115932911199.9966
2023-06-23,57042480767024.836,849261067927.02,1436997814318.8323,827609231851.187,2096209267754.4683
2023-06-24,57010412251340.375,879365015945.6506,1406008038414.4622,827424904517.2036,2074025668412.0059
2023-06-25,56989088812453.86,901934991614.3396,1382035441910.734,825884310135.339,2054160122913.6301
2023-06-26,56980407776178.55,929003432136.9067,1364107489589.2297,822433565623.9109,2030206817842.0928
2023-06-27,57000357766989.42,950948113618.511,1353039190559.6914,816963394315.9297,2006541129775.3037
2023-06-28,57064659709412.12,955125865202.5835,1343695192557.6077,809702539452.7325,1990539399372.6714
2023-06-29,57125182443993.91,960786233472.1516,1338890910912.8452,802037313218.9927,1979959647284.6167
2023-06-30,57191167088120.77,958369086990.0679,1338035821597.361,794192838412.8881,1978947543480.8435
2023-07-01,57218821940194.5,958426788403.3789,1340040153986.1719,787567009464.5651,1987651300857.861
2023-07-02,57215853004799.836,961520507866.5204,1342906326530.0972,782022612417.3142,2002841469544.3247
2023-07-03,57175687244780.92,965069660227.3135,1345481868557.1538,777657690834.9795,2020815358189.458
2023-07-04,57110644632107.95,971531955816.2777,1347329033619.3179,774213862490.2346,2036304448180.7175
2023-07-05,57028773062061.27,976269229452.7413,1349215680876.435,771564598851.0947,2045937220998.4333
2023-07-06,56935758378738.625,980477875462.5022,1353863975765.3564,769509986921.2235,2051036128742.9922
2023-07-07,56837362672017.18,987045581036.6896,1358208667820.8892,767707441192.719,2051102852527.7231
2023-07-08,56765397476896.81,981734069042.2366,1364728166990.7751,765576440144.0026,2049949184789.7085
2023-07-09,56703938044119.266,978384380759.263,1371231561093.985,763376493051.4357,2044186871743.9653
2023-07-10,56670305480470.734,985126428210.2244,1377505246779.6187,759963729602.2693,2032668712312.439
2023-07-11,56695977004098.26,980490228026.7959,1382776398389.347,754790770313.3503,2022466932774.2505
2023-07-12,56750712470740.75,982176605789.2655,1389237258018.1787,748284972361.2698,2009373848857.9238
2023-07-13,56821162899456.22,981102407535.2004,1396671986031.5488,741661656154.506,1998845412542.6133
2023-07-14,56875506176290.164,982152310647.0544,1401894796642.575,736144461120.0101,1994331598545.9292
2023-07-15,56895902392689.68,980022374602.1097,1407164644604.6484,732520020057.5623,1999476311818.9556
2023-07-16,56900857979811.28,969702717051.9668,1408449181985.4976,730243726040.9916,2010862220820.8057
2023-07-17,56897213056714.414,942694365000.1597,1408772125746.5854,729197362740.2649,2029518419671.3901
2023-07-18,56848753447108.914,922147575067.2778,1407317351625.2358,729827079989.4811,2045398852748.853
2023-07-19,56785828405671.52,913066570854.2347,1403729691934.3328,730623123506.7821,2054353858461.0037
2023-07-20,56729608961804.78,908915356393.9897,1398266486596.9077,730988413978.3136,2056983544802.2324
2023-07-21,56687801522226.94,898164915623.3467,1392893168402.8916,730936657395.7537,2056242748072.4175
2023-07-22,56658349758461.78,884434487275.5352,1386332759667.9194,730611095605.0231,2053247047171.0972
2023-07-23,56637023000790.984,873447990724.654,1379644953637.084,729831941558.7444,2045661478235.8896
2023-07-24,56632515748207.83,867481350067.5327,1371373420735.0005,728346799735.956,2031793362748.682
2023-07-25,56726111233174.14,775979595782.2838,1362567480459.2676,726056904270.3953,2051854383435.3606
2023-07-26,56826609856040.055,724491571526.1095,1342868093914.6985,722021985573.3976,2053399588158.575
2023-07-27,56933048555778.836,737220514459.5178,1320170065763.0293,716291923901.5847,2026189403208.599
2023-07-28,57066782451556.16,749422893747.1167,1301728400380.9019,710748712688.0764,2004356348334.1526
2023-07-29,57202696980544.86,754281044520.1189,1286618147181.4985,706115628280.5089,1991884737082.9946
2023-07-30,57283192152612.17,755824175699.5547,1275936144737.665,703627082058.4373,1991682530507.7212
2023-07-31,57297593011951.61,760532714586.8779,1267094620011.1455,703149581514.922,1997004031680.8447
2023-08-01,57296179267109.17,760842309263.0598,1255760721771.9128,703412197776.522,2005343488101.59
2023-08-02,57295746206895.09,756233327360.2079,1243333800152.9023,703733581135.046,2016320513515.416
2023-08-03,57301758168116.7,738661977560.5715,1229446765553.4595,703788763217.682,2032477408361.8555
2023-08-04,57296500959826.09,731546872851.8729,1215214331838.8296,702901716609.531,2041494032515.597
2023-08-05,57289379003997.4,726823165638.6006,1202782189185.9702,701493155596.9329,2043930314882.8374
2023-08-06,57300243599778.76,712227614261.7761,1191537723329.3801,699555932520.4727,2045081253073.5977
2023-08-07,57356678573092.766,680912456582.4818,1178028339292.5789,696280462046.1013,2049069141783.4
2023-08-08,57413799725015.33,675358590315.4418,1167103564462.4585,691921519423.4017,2036074645064.0447
2023-08-09,57524923045532.35,639609092601.2521,1156986331925.7476,686615816004.0111,2037612469511.2686
2023-08-10,57655515652816.81,614229133728.0133,1143795765295.9395,679704950319.2822,2030932793677.3271
2023-08-11,57763311067900.31,622890696199.8827,1131191450862.0244,672872315521.6475,2007110013592.6838
