,Z2,Z1
2023-09-13,1780921.0697783614,1021948.5130635322
2023-09-14,1725116.1516568342,978170.854762282
2023-09-15,1693535.6895137788,960452.8070942071
2023-09-16,1662438.3832022317,944802.4458629367
2023-09-17,1613793.9056507084,915452.4892237914
2023-09-18,1546678.2787809223,866231.7618654054
2023-09-19,1513609.20068044,837838.3102515242
2023-09-20,1416575.196050139,763956.9685308938
2023-09-21,1403755.3439587725,759830.5285281832
2023-09-22,1423873.9374100105,779518.6237096256
2023-09-23,1426874.214633351,783157.8230608036
2023-09-24,1217676.9113126877,627954.9065013663
2023-09-25,1066143.4193362673,510953.13946197386
2023-09-26,866518.4039324954,370540.46081625356
2023-09-27,742084.8546272229,297740.3752905724
2023-09-28,660610.0701180843,252512.37208647034
2023-09-29,681550.0847897145,256689.07305204473
2023-09-30,755351.7657205963,291699.75124004076
2023-10-01,833337.9344006071,329987.2294985954
2023-10-02,862266.7874636205,343518.2175063367
2023-10-03,697282.3787989831,257261.44096511262
2023-10-04,743073.8023204405,293327.47620186006
2023-10-05,767908.1554560873,313515.6773134308
2023-10-06,843996.8505689214,357597.2011740585
2023-10-07,934581.5422963791,407446.7887567485
2023-10-08,1023665.7172616182,458698.618084546
2023-10-09,1044027.1584738616,474539.8941737565
2023-10-10,840427.5260979708,350027.4545152651
2023-10-11,674215.9635327301,243193.8957149251
2023-10-12,679595.9909472751,258537.04750036926
2023-10-13,740843.305903746,301224.85659985663
2023-10-14,731967.2364850334,294368.70837641606
2023-10-15,676044.0914094185,255268.46642540974
2023-10-16,619364.5128737573,223103.53121891752
2023-10-17,524118.63102918153,171905.59833760164
2023-10-18,387084.9316953873,120595.14611944125
2023-10-19,337893.6380811635,103959.27924566309
2023-10-20,347350.90022013674,106538.82189591018
2023-10-21,393847.8219715242,122663.86082290315
2023-10-22,420017.82242862677,132748.74642606266
2023-10-23,498688.6208969532,165434.33684488514
2023-10-24,526808.9144470954,176220.97633434538
2023-10-25,401918.4387798249,121302.50545662866
2023-10-26,448194.2701719818,143659.6899062608
2023-10-27,511367.249604453,173928.5360363102
2023-10-28,564207.7520786343,199996.4439990304
2023-10-29,598386.4057397417,220421.61996066323
2023-10-30,618264.9996038999,235269.83537718773
2023-10-31,629696.6751036932,244999.4429689596
2023-11-01,614853.9078383194,243470.3895531911
2023-11-02,527195.9103041185,209728.38412510854
2023-11-03,464138.00283236743,180928.58061013825
2023-11-04,399417.07478177786,149184.30130589457
2023-11-05,345179.1384760638,120926.2413601405
2023-11-06,280739.40408537484,98920.84465963513
2023-11-07,220895.55488245358,80024.96256167877
2023-11-08,263566.64371385716,88271.11339804556
2023-11-09,265093.0886642511,86720.98072823006
2023-11-10,212244.9248666215,70685.76761239092
2023-11-11,171013.3702243646,58989.15209602478
2023-11-12,152463.81312791348,54821.281360235436
2023-11-13,132115.73757745145,51760.61934672712
2023-11-14,177533.08579373301,62498.86713820721
2023-11-15,213723.7788605505,72626.462970607
2023-11-16,228955.3696086499,78809.62781370152
2023-11-17,271669.4093602893,94042.19656960308
2023-11-18,305684.28696785116,108790.18927033886
2023-11-19,302551.4514129209,108508.01320693939
2023-11-20,310402.1724420143,113421.71615003217
2023-11-21,316572.7797143626,117991.2414564547
2023-11-22,281058.4668047089,101725.53190999526
2023-11-23,300752.9288325734,111891.55512873533
2023-11-24,320692.3539142198,121961.38133672901
2023-11-25,328150.8203439674,127751.03394841737
2023-11-26,323695.94401405536,128721.76889448773
2023-11-27,307950.0656259592,125478.80058681764
2023-11-28,285078.2965493753,119557.21189236084
2023-11-29,258179.7850348972,110627.89125282064
2023-11-30,233088.0674521169,103469.89315733575
2023-12-01,169369.56578011028,74309.73311437313
2023-12-02,144616.27352886318,62829.70540543357
2023-12-03,140251.28806002252,60621.03979895056
2023-12-04,118160.76950991833,52762.84895879727
2023-12-05,78448.20963932318,41794.45380344
2023-12-06,68004.42701131705,39513.95627634443
2023-12-07,71560.03029965852,40792.71045514423
2023-12-08,71023.36004119941,41440.3917071244
2023-12-09,92147.91091159159,47199.75881986133
2023-12-10,56409.55436342809,36731.28568726045
2023-12-11,48490.603266739396,35486.530930293455
2023-12-12,59143.26742799187,39000.93687899648
2023-12-13,68733.65125332565,42343.839166315265
2023-12-14,62905.70571468945,41284.49852017744
2023-12-15,61858.41304989768,41500.25665787251
2023-12-16,73536.85106904326,44773.10473750952
2023-12-17,85104.88107862738,48634.553032382486
2023-12-18,99192.70155372821,53359.77839778426
2023-12-19,83918.17736917577,48831.236526774475
2023-12-20,69299.59156295744,44639.876686058895
2023-12-21,70860.65703100774,45479.52292704256
2023-12-22,69160.36225138212,45320.29766192125
2023-12-23,76353.16690233037,47222.7189447645
2023-12-24,97564.44399153987,52940.62344044927
2023-12-25,79862.12447307543,47930.59205341204
2023-12-26,54925.39780923897,40177.181390279795
2023-12-27,64757.328217379945,42006.73530276263
2023-12-28,42468.238432185615,36077.15458379861
2023-12-29,33618.36878651355,33856.188536205635
2023-12-30,33967.26306593984,33929.54187286976
2023-12-31,32807.19340530998,33882.15638332247
2024-01-01,50635.18045251497,38676.09199382065
2024-01-02,64071.62025326178,42631.916232548094
2024-01-03,52619.46912057015,39577.17801245757
2024-01-04,58696.10405738721,41730.69472807116
2024-01-05,69329.58924862264,45089.02820609866
2024-01-06,60873.64032856042,43042.18960983994
2024-01-07,86292.40938930711,49954.73714067354
2024-01-08,102706.28677463399,55337.584662741174
2024-01-09,71216.53313274143,46435.52668450639
2024-01-10,67394.18591883765,46550.39511971597
2024-01-11,85492.33143885674,51824.77193734989
2024-01-12,92570.0947875603,52684.03564017369
2024-01-13,109592.06179427449,58138.22974920988
2024-01-14,130175.871789761,65861.2411271008
2024-01-15,150971.0954576562,74135.86728847191
2024-01-16,170436.84191378296,82864.00595739552
2024-01-17,174546.0635998142,85476.0191337803
2024-01-18,148713.9488118389,75647.36014545518
2024-01-19,113843.07281949552,61257.470526411475
2024-01-20,94226.40879114217,54569.51532431799
2024-01-21,92737.64601313634,55463.97689724055
2024-01-22,77354.94299769716,50581.406657691026
2024-01-23,62760.44286737794,46559.90552982141
2024-01-24,65408.563216861876,47580.164050720094
2024-01-25,56800.88494163059,44991.71292457148
2024-01-26,49972.777821207776,43031.93370809809
2024-01-27,48419.92583488111,42408.78362694084
2024-01-28,40819.184844983865,40368.99814848172
2024-01-29,47754.47431172733,42519.76421189669
2024-01-30,57542.05857626994,45208.421533901535
2024-01-31,65972.74238956711,47567.3770051685
2024-02-01,62220.143550096516,46497.39390620726
2024-02-02,84997.27391053918,53095.59473852398
2024-02-03,116826.3179915584,63339.08266241545
2024-02-04,152802.48507740023,77832.56050166616
2024-02-05,191140.20414266826,92877.01435355791
2024-02-06,199767.5382768657,100354.79881186209
2024-02-07,245533.57085456265,124412.17931785455
2024-02-08,283689.7407790555,147852.61479094726
2024-02-09,309448.9949038126,168667.95603505385
2024-02-10,331802.7762461927,191053.15215973576
2024-02-11,313178.80931264115,190272.43920388044
2024-02-12,275272.5914195503,174709.05813156776
2024-02-13,279027.3546951872,192778.44143457388
2024-02-14,308257.44998506,224489.88171888655
2024-02-15,323708.2486973592,249029.1581638878
2024-02-16,330189.64744223445,268876.7827730098
2024-02-17,362221.0963629439,308971.2087792662
2024-02-18,346487.7338492472,314791.22841684474
2024-02-19,323914.326736355,306242.6015671798
2024-02-20,320695.14066289057,308444.49458268686
2024-02-21,300312.42038936395,293966.3218271022
2024-02-22,282892.5870272614,274847.1202243585
2024-02-23,294346.5184947921,284041.4913846084
2024-02-24,316667.37903300894,302096.1410833002
2024-02-25,290339.30554039235,271187.68477620755
2024-02-26,273551.7091359263,253086.48957436703
2024-02-27,304009.6205799985,279702.5377453999
2024-02-28,290336.1868866857,254931.9654836147
2024-02-29,267425.6712489895,221983.82509292586
2024-03-01,280331.66413727595,233252.2194066238
2024-03-02,288327.0321987134,235039.88028405904
2024-03-03,308545.5693857277,256296.694040166
2024-03-04,309027.8423974399,252977.82250166888
2024-03-05,357605.00614144636,314872.89584037574
2024-03-06,420482.71912701003,385901.4891943881
2024-03-07,472611.9471651136,442665.0690165984
2024-03-08,524027.51596527855,502268.7194413946
2024-03-09,495031.59257707524,481345.12435328634
2024-03-10,485493.8490844304,461603.92097259796
2024-03-11,471731.5252111174,434851.5086892271
2024-03-12,442277.2199730987,380296.97826618166
2024-03-13,457938.7989453132,396560.16631101206
2024-03-14,509722.7857834102,455689.4020004819
2024-03-15,583197.2589731212,535954.3367747321
2024-03-16,675063.79305625,636600.6303393258
2024-03-17,790126.7930988757,759443.4342397627
2024-03-18,922380.7126910209,910487.3154860632
2024-03-19,1052988.8130662015,1098508.483065676
2024-03-20,1163930.6634819512,1327913.2344411246
2024-03-21,1231423.7137723092,1570406.6120296249
2024-03-22,1309713.170374,1890155.207783028
2024-03-23,1311149.176144307,2135947.5342387585
2024-03-24,1325522.7698079695,2348612.8740852987
2024-03-25,1379935.7733702636,2634018.903882661
2024-03-26,1376368.8903726905,2775482.5615753615
2024-03-27,1401444.0359545534,2926455.576705505
2024-03-28,1390984.0910892868,2932950.241346626
2024-03-29,1381410.9444942472,2852468.86625382
2024-03-30,1398745.536376414,2837084.7985967854
2024-03-31,1426896.9303995124,2824395.809188582
2024-04-01,1477707.241779228,2878687.9051649063
2024-04-02,1535962.4540302656,2955590.825483762
2024-04-03,1548402.7117500447,2904518.1585550867
2024-04-04,1586433.5068202224,2921981.456497078
2024-04-05,1622378.8973925877,2921949.3356393324
2024-04-06,1677807.2009942303,2976728.275212127
2024-04-07,1677882.861853296,2842240.656297365
2024-04-08,1658770.229033592,2640128.8024220094
2024-04-09,1576531.610617916,2261775.215505101
2024-04-10,1578346.594797329,2139868.1916805254
2024-04-11,1573554.1606721135,1978808.598493936
2024-04-12,1507578.1710496119,1688767.3363220065
2024-04-13,1559922.9398935596,1649451.91169929
2024-04-14,1653859.6565059503,1695553.4602275733
2024-04-15,1763949.7047531065,1798593.2156333108
2024-04-16,1849627.6752055436,1909022.3307507606
2024-04-17,1985525.6675809938,2101802.308398204
2024-04-18,2139433.103221999,2344110.6131865135
2024-04-19,2295941.4170520264,2631150.278076923
2024-04-20,2429295.5539798015,2946498.722338273
2024-04-21,2464417.0027567474,3131177.2111848616
2024-04-22,2533349.3422786975,3300231.9951642947
2024-04-23,2624528.914427015,3452370.885482859
2024-04-24,2683521.9239107287,3505594.8675181204
2024-04-25,2658024.2049695835,3319856.832693158
2024-04-26,2534015.4040395557,2851021.5748795774
2024-04-27,2427463.8234739993,2378968.8584705624
2024-04-28,2242353.4656828092,1827636.405368814
2024-04-29,2092412.925693834,1444368.1346289748
2024-04-30,2061478.0289790246,1302346.405827546
2024-05-01,2125875.117814852,1266014.03660202
2024-05-02,2261333.106959001,1291326.1064011948
2024-05-03,2417692.623467731,1366473.0063080655
2024-05-04,2465789.19515867,1392806.3461512136
2024-05-05,2373507.66065001,1311561.0198319969
2024-05-06,2198988.175563494,1139711.9557566808
2024-05-07,2161625.7811983097,1051366.999125122
2024-05-08,2282299.783933879,1083696.311611231
