,IN,Phy,ON,Zoo
2023-10-05,69793959329261.15,381999930910.4387,1387979800510.0596,1471758935389.7302
2023-10-06,69869808458961.46,395504341079.6957,1379777250077.787,1441969688812.2603
2023-10-07,69920779288923.57,410609982324.8746,1373822235371.2896,1410100071684.488
2023-10-08,69921778162467.625,425358141086.67926,1372719384181.6482,1381710909675.0427
2023-10-09,69877502657862.3,425017516938.1304,1376405193993.0159,1372725963302.849
2023-10-10,69841006932516.85,380537098871.8657,1377231088636.7036,1416838219870.5159
2023-10-11,69813532672586.95,352832228813.5602,1369906274961.2893,1458477265292.0613
2023-10-12,69848615282860.41,363943344201.5304,1361784726641.4326,1450855862500.7058
2023-10-13,69888369692546.3,381037506859.5268,1353990216835.9001,1430313231083.263
2023-10-14,69849737041883.94,378935714114.64355,1348945228245.292,1436233921951.3105
2023-10-15,69751508669842.016,369066852204.0338,1345035859284.3977,1458959097398.4297
2023-10-16,69685468732796.71,360527252927.1787,1340422677828.4158,1478893214871.3145
2023-10-17,69678418470344.69,345602683709.3117,1335115174964.601,1504645018424.9363
2023-10-18,69719705165450.24,320844035149.1892,1331776013688.5703,1541704942446.3127
2023-10-19,69820960819627.45,313668796027.30457,1329762524906.2366,1548973993704.1477
2023-10-20,69987291936938.75,318442302314.7025,1324280782563.8962,1528540584695.9683
2023-10-21,70155071727115.54,328064376808.7186,1314943215288.0964,1497756652719.547
2023-10-22,70313799023317.74,330960087204.19775,1303481435667.3416,1477634285115.653
2023-10-23,70451633560696.58,344808811539.6797,1292630662322.2317,1438322748545.5225
2023-10-24,70582498704478.05,348035559995.4647,1282686500389.5815,1415656738402.9556
2023-10-25,70723050630834.27,322528193809.35254,1271096016230.2932,1439262815219.6711
2023-10-26,70817117285582.27,336331756029.93506,1260986279742.18,1405665052338.867
2023-10-27,70896817809130.81,351927694770.0193,1251263593992.9739,1370250350551.275
2023-10-28,70970292433089.44,365673802953.65784,1242111331438.2842,1339952173926.9512
2023-10-29,71040467180005.56,375770732188.7733,1233181996341.2317,1316487163280.7688
2023-10-30,71103316849062.66,383085802684.0982,1225319299230.5244,1298169739897.537
2023-10-31,71150214156614.73,388651945579.8634,1218311765520.6648,1283456312409.3792
2023-11-01,71170210803249.78,388427910319.3304,1212922673700.0005,1276819002681.7327
2023-11-02,71167226557789.44,371483083657.9447,1208164765121.654,1289520792715.6394
2023-11-03,71129698500561.03,363825129872.1793,1205760785971.9182,1294557443333.4368
2023-11-04,71051168245365.56,355600789853.8158,1203697408111.9697,1304982600960.7192
2023-11-05,70942257503465.81,349267476491.50586,1202229496161.0532,1318885292995.8235
2023-11-06,70863894117134.42,339170007058.9906,1198502349131.4275,1336142280556.0718
2023-11-07,70914657965253.98,329638009575.66864,1193745158203.8677,1349659175391.0305
2023-11-08,71011356032615.33,344827423634.6426,1188892575569.2847,1315219374568.8572
2023-11-09,71052666786192.33,345018880498.316,1179995304481.3813,1304405608356.606
2023-11-10,71011246112614.78,333076263611.1985,1170542496464.7583,1317292310545.1367
2023-11-11,70930475072075.06,325459567381.0471,1165539401081.1863,1325452219893.809
2023-11-12,70912747264002.98,324725190631.5232,1163883434485.7217,1317754203206.7502
2023-11-13,70967047692245.75,321798867275.65576,1157002736465.0562,1310294083240.6208
2023-11-14,71071168829813.81,337108773473.53235,1148754603913.7974,1266662125970.4578
2023-11-15,71181152156117.72,347784101328.1201,1136804560818.6042,1230238643884.548
2023-11-16,71288035987475.47,353126916703.5711,1124159073425.9307,1202744053191.4587
2023-11-17,71383577523934.58,364442118958.91565,1112113500865.0356,1169173518466.9207
2023-11-18,71468103729089.53,372788048617.9009,1100151231417.03,1140881537732.7166
2023-11-19,71544781418756.33,371432715161.291,1089127992542.7715,1124959834598.4526
2023-11-20,71635445288452.03,375145366194.3922,1080482732163.5638,1104323402929.4575
2023-11-21,71714567669517.48,377416766773.6548,1068816460649.62,1081875413214.6036
2023-11-22,71804383071031.23,367394488672.1854,1055987434546.4933,1074021136774.8967
2023-11-23,71888687526395.19,375115061603.1619,1043461850577.6748,1047720495753.9004
2023-11-24,71967163466198.1,381815169331.14233,1029365087406.8171,1024463299156.9082
2023-11-25,72031269555985.2,384900388699.91943,1015031470524.874,1006162760294.59
2023-11-26,72088258289715.31,385256554902.83997,1000795976069.874,992810198190.647
2023-11-27,72128092472546.19,383135941164.3047,987330022518.8083,983586010158.0809
2023-11-28,72149660676913.84,380538454510.4307,975018693051.2896,976253546190.795
2023-11-29,72167368619063.5,377138013455.0414,963551680600.621,970557034532.1898
2023-11-30,72165512217829.19,374397783760.2558,952272668952.0859,963279422919.679
2023-12-01,72166187541341.77,357837450927.09265,940358971998.7759,970387124979.7726
2023-12-02,72135959985715.4,355076715191.65796,929889061920.7355,964069535549.988
2023-12-03,72075143077429.73,359631435844.84827,922086944292.4937,952502542099.8594
2023-12-04,71927052884657.25,357103459805.5576,915799496324.06,951279869671.1467
2023-12-05,71679388188063.31,345000079670.7584,916184447407.4858,961215185790.6951
2023-12-06,71532931317633.39,344390426488.56836,919974874904.9185,952643973111.5482
2023-12-07,71535008899332.28,347929643504.6723,915542647030.7742,937710482458.7285
2023-12-08,71578669115864.39,347553427903.60443,907266243388.1785,926313190944.3862
2023-12-09,71502952351692.81,357405328769.195,897206896377.7369,907728733634.0676
2023-12-10,71382027497470.06,344912241902.44165,887281917323.9446,923698854730.353
2023-12-11,71355960070636.2,343315012059.2827,880612042975.116,915662940336.6094
2023-12-12,71401825177376.9,349779600249.11035,872278365652.1707,896068421934.9576
2023-12-13,71466656849099.1,354553961015.97754,861589944304.5803,877939642205.6049
2023-12-14,71543566390024.19,352874911331.89185,851192005240.0151,868406317452.7793
2023-12-15,71624866710485.84,353917524408.7976,841751040396.2177,856059958828.3579
2023-12-16,71694363561088.86,359500207199.0493,831617774148.7292,839296289485.7332
2023-12-17,71786616393045.84,364761862395.44336,821915557980.8142,822322780933.3691
2023-12-18,71867176416785.94,370681845444.4753,811914503055.65,804005579855.8302
2023-12-19,71905977924352.84,364218392087.00055,802238835391.8339,799809299985.7034
2023-12-20,71921273202381.05,358085863240.26575,794623333491.2524,798484179440.4034
2023-12-21,71940910187188.08,358162356918.9087,787416120783.7766,790362380326.4829
2023-12-22,71974356300478.28,357222349575.4391,779318629387.8512,781765306418.7933
2023-12-23,72024921598790.61,362310907073.4433,771987187728.0747,767836885128.8678
2023-12-24,72012437181983.14,372473501433.42456,762914748149.0527,751741953347.3779
2023-12-25,71918142687836.66,366484435564.8251,754602017340.4508,755437449960.3617
2023-12-26,71772486466035.08,358398030948.9309,750376216616.9305,769905960094.6819
2023-12-27,71648380252865.72,368068471627.0834,747597880964.478,758701742892.9987
2023-12-28,71557547148938.02,360074978020.19885,743672245709.3765,771231641625.2158
2023-12-29,71529541009192.56,356788397475.34503,740839536124.8931,774673531024.6182
2023-12-30,71520036451114.2,356420014991.57324,736347382209.1997,769680317054.103
2023-12-31,71544471487457.36,355945444930.6471,731545916588.868,763799221541.3595
2024-01-01,71552651518783.84,366119967305.88806,725359038125.4419,744303235659.6768
2024-01-02,71541338099367.3,372100362243.26166,718482368282.6604,730162362577.5526
2024-01-03,71536053524601.39,365866565765.19824,711942834014.5206,728481518615.3381
2024-01-04,71544087660178.23,368995882344.2514,706595093031.8969,716947354307.1014
2024-01-05,71575079851081.0,376117765425.5508,702376781837.7659,701813538159.5907
2024-01-06,71578256689677.61,372053653898.5991,697274456320.7776,696658041382.2319
2024-01-07,71603786959603.83,385820307909.8588,693602567117.5844,677990788057.8239
2024-01-08,71606032525592.11,394515135288.45105,687744551586.4575,667960831615.9368
2024-01-09,71586131863550.5,381471081300.8244,682255385852.117,674645049924.5099
2024-01-10,71636589203164.92,381471336873.4749,680509690829.5526,672344005109.6704
2024-01-11,71715636123215.23,392105162513.08887,676710236716.7494,662790772939.8779
2024-01-12,71802635251451.11,398852379217.05347,671636018760.6572,659619176499.2054
2024-01-13,71860985575400.5,409858827267.0364,665298396596.1493,650787595583.5494
2024-01-14,71877427841389.92,419969811872.6021,658704598099.852,641448801000.4387
2024-01-15,71898538227696.92,430086808096.1642,654469499228.9706,632244941976.9467
2024-01-16,71900464805340.9,438896697737.4735,649881268418.6638,624057285615.3073
2024-01-17,71879357722795.92,439544239736.88525,644967700036.1199,620257619249.1989
2024-01-18,71875621889946.06,427436335817.5808,641957401430.4585,625038587213.9286
2024-01-19,71833359096504.42,409560285727.44635,637817132513.8372,634682554923.3396
2024-01-20,71763835012514.97,399433321615.4955,633545990160.0203,639137113727.7244
2024-01-21,71675709510802.81,400867068010.11816,630981311891.0647,639343230078.6693
2024-01-22,71574342681846.4,394782750597.0122,630349811766.6337,647636046771.3344
2024-01-23,71517660073463.8,389221178765.6731,632271535317.2938,655743195225.528
2024-01-24,71475881494708.4,392893563881.8069,634577836345.7063,657811299229.3467
2024-01-25,71446081776014.66,390766063902.1212,636809372490.4125,666628964507.2733
2024-01-26,71435931182501.89,388833328835.7518,639130866764.0872,672906358984.9818
2024-01-27,71390618413615.27,389894290512.9876,642130408161.88,675345240285.4655
2024-01-28,71332812493483.9,386274087868.477,649642769342.2952,678679353868.6324
2024-01-29,71294745239991.56,390361965478.3143,661745361853.9412,672960424518.9701
2024-01-30,71262263027591.38,394855573068.1165,673382795958.9685,667250096481.4297
2024-01-31,71207694535932.25,401388805575.37524,680854075274.9629,660202288565.8192
2024-02-01,71153777704204.22,399146141788.9214,685343674843.8094,662984928224.8126
2024-02-02,71121567922912.81,410065227630.06006,687322853801.1075,655331996882.8097
2024-02-03,71138310776343.27,424898426112.9568,687204234492.7457,645276646726.0552
2024-02-04,71152624392975.45,442062548436.6361,685571397176.8328,632132512366.6306
2024-02-05,71118928090699.58,457273065729.64545,682406642699.4818,620633018160.3749
2024-02-06,71104799521594.67,459566275433.79614,679486739950.7297,617360712193.9896
2024-02-07,71089033855445.02,480204952858.02356,677497649727.2639,605370681317.6653
2024-02-08,71085431444152.7,497691641990.1826,676972779827.3569,599129645542.1626
2024-02-09,71087382834807.95,510237874380.76605,677745995331.584,597555896546.5934
2024-02-10,71066921888221.02,521607240301.20953,679077421989.9487,597400728157.6135
2024-02-11,71036017280082.16,509220563322.67224,680048651927.5613,607273944476.978
2024-02-12,71021812141303.1,488872747525.54065,680730996365.4023,618364496892.6951
2024-02-13,71008244118386.16,494611775699.3855,681388506138.5645,615935677107.8265
2024-02-14,70975111745784.31,512624252746.59607,681977903217.2781,608850904180.3308
2024-02-15,70933855437429.44,522855109046.4755,683146889680.3804,605855710690.4767
2024-02-16,70896790324652.38,526906637963.08673,685475170066.0978,606024148409.4281
2024-02-17,70815048422435.17,545473212748.376,689319816832.5952,604433032926.867
2024-02-18,70759529726091.84,532464819799.70953,694205551389.1628,613316154001.7472
2024-02-19,70729660436875.3,517385076581.08514,699170916068.4493,622514771521.2797
2024-02-20,70692307557197.28,515212067136.1472,703836811327.9766,627463149948.8022
2024-02-21,70653469979060.12,503630179068.66345,707969821652.2018,637357646657.8019
2024-02-22,70616238352905.4,496421662733.15717,711523933765.5986,646859591425.7122
2024-02-23,70604545780636.58,507822534493.7335,715499673330.4508,648851697731.0679
2024-02-24,70581944116914.5,521601548678.318,718752958730.896,648037669203.8175
2024-02-25,70579490027965.73,503228626311.41455,721245586938.59,657997069616.8689
2024-02-26,70584413100100.97,494972031309.40546,723092172515.8062,662209118373.9756
2024-02-27,70598464082295.77,516811672665.5216,727052212071.146,656717175168.5836
2024-02-28,70579524261536.97,506869345978.42914,731126729465.0552,662985692925.8174
2024-02-29,70534347307544.67,492249976132.2719,735808923913.1245,669116490184.3566
2024-03-01,70473376510266.7,502438050459.9114,740927812973.5146,667057567410.6875
2024-03-02,70398361563334.08,509311731491.9011,743796285456.3083,669708837466.0696
2024-03-03,70351089898556.42,523109216074.4694,746106427870.307,668582788980.084
2024-03-04,70374380424998.48,522243316395.9707,747763451894.6895,670734665239.9843
2024-03-05,70362686680121.8,553351921822.7751,749736797245.9504,660421639006.293
2024-03-06,70324333080779.15,590905702699.1182,753995079548.9094,653096830331.6206
2024-03-07,70270046114865.55,617577805792.6624,761619244981.9624,654139041906.5903
2024-03-08,70176625099786.016,643713258764.6368,773442727136.323,660537000986.026
2024-03-09,70081634651170.98,610147158595.1423,785976857872.8639,685131983995.3336
2024-03-10,69908107831371.516,600608311142.4008,798290590812.3313,705672021069.6864
2024-03-11,69767372870525.84,592720361765.4723,811011837011.2073,724061314717.6674
2024-03-12,69676435281982.94,572289534902.559,820874874161.2263,745254839086.5034
2024-03-13,69660060559020.65,587381765716.0724,829900129828.4618,747242836725.2766
2024-03-14,69652941700659.6,620938637441.4529,837538715757.6929,740795312470.4082
2024-03-15,69567747395426.77,664066390944.3484,845475330903.732,732405584836.7604
2024-03-16,69463694482376.04,718011342155.9778,858604071249.645,724913329524.0153
2024-03-17,69359599444908.31,789454019613.512,879561152649.564,719330370622.4451
2024-03-18,69217681752302.0,888491092287.1968,908869601700.1687,716697574084.7944
2024-03-19,69017075931008.95,1017609295262.4003,947397878855.5986,721193003641.3866
2024-03-20,68786264500408.46,1153131554491.8962,996912306342.5234,737847648629.0538
2024-03-21,68589269647013.25,1230032606643.9773,1056015051599.4312,769272187252.5398
2024-03-22,68339162749562.875,1328457447457.8972,1125039775975.5977,807854717178.694
2024-03-23,68249191407698.65,1244273911232.054,1199369153128.6816,862693795356.5393
2024-03-24,68132091950487.914,1193047301036.216,1276138004871.4246,913045679390.7892
2024-03-25,67937771370576.67,1216370931685.4553,1356916449200.0989,957721034902.3075
2024-03-26,67876885889661.125,1107794727049.5579,1437378859373.2625,1006195240945.4446
2024-03-27,67704664464754.93,1075768806084.4102,1516688655012.6484,1043262238047.9136
2024-03-28,67509700119405.25,987108703469.4009,1591449142946.2644,1078521179709.0791
2024-03-29,67350106706831.36,906574487526.9601,1658195399713.9412,1106035132580.9092
2024-03-30,67258280159587.445,894776423554.2472,1715314223896.6956,1118012041389.2544
2024-03-31,67185303439536.586,908106010374.3035,1762871331003.2507,1123772938467.5298
2024-04-01,67080815985628.41,944902459427.1841,1805006356446.373,1127278285640.0825
2024-04-02,66986356047546.11,972335729025.0537,1847721484878.0376,1135673675382.6328
2024-04-03,66947086767971.03,918013100957.3635,1888963849205.268,1151959881555.981
2024-04-04,66872935133135.53,922585038278.4863,1927553605200.9233,1159896282634.4724
2024-04-05,66842342841763.4,913537643176.1646,1959702773898.4976,1171211762972.2585
