,Phy,HBac
2024-02-27,703856.4019836655,654418.4145548793
2024-02-28,375892.02743148815,658540.7335006306
2024-02-29,634048.0046682718,663223.1343897854
2024-03-01,572622.6190059907,668548.0528899402
2024-03-02,765814.0301715976,673080.6510979007
2024-03-03,612170.2090287881,677671.0968737014
2024-03-04,916807.683097284,681238.9730856859
2024-03-05,1198986.5443196937,685630.6149654065
2024-03-06,1269412.2546280534,690426.6276171361
2024-03-07,1423351.0600930897,696172.6201119595
2024-03-08,823358.656916725,703739.0641721812
2024-03-09,761413.3668460555,711405.6098730172
2024-03-10,864776.7505959845,720498.5393166157
2024-03-11,642572.4536511302,730689.945108967
2024-03-12,821725.1092957342,740293.335056436
2024-03-13,1261283.802305363,751843.4805558086
2024-03-14,1597927.5475516424,763802.0343859362
2024-03-15,1916247.2316927635,774047.1472533259
2024-03-16,2344954.1603575214,785825.9653303953
2024-03-17,2934863.1217079186,799786.0286708154
2024-03-18,3585499.3169734944,816298.3237725969
2024-03-19,4124001.782583527,836032.9768112397
2024-03-20,3771677.405261692,859635.6657899064
2024-03-21,3791906.923170692,885813.8303160978
2024-03-22,2693611.9885755675,915241.6592669316
2024-03-23,2091813.251006089,942158.3991795627
2024-03-24,3332206.37203738,968713.4849308262
2024-03-25,2496528.9542496847,996493.3326427896
2024-03-26,2800920.063103106,1021722.6056020993
2024-03-27,2334555.1948902295,1049510.7683354288
2024-03-28,2346951.6197829805,1077951.0230362741
2024-03-29,2495122.6213296996,1108118.1024740632
2024-03-30,3212746.161070411,1140718.0339071695
2024-03-31,3708600.260822002,1172016.833844143
2024-04-01,3830467.7582971295,1202594.5292465312
2024-04-02,3197030.043241337,1233238.8132634265
2024-04-03,2947954.7220607074,1262317.8309017622
2024-04-04,3365728.215200445,1292836.3151815715
2024-04-05,3358691.261910408,1322028.912655794
2024-04-06,2903268.148996683,1350485.6264339276
2024-04-07,2370636.6802285397,1374274.2969973732
2024-04-08,1516494.612303271,1395166.0025667136
2024-04-09,2255353.6989563066,1413421.373155665
2024-04-10,2904809.4455028903,1435787.0014555745
2024-04-11,1611468.6912181417,1456042.7853997764
2024-04-12,2295592.6644607927,1474352.402808003
2024-04-13,3170300.4858584274,1497873.5534827833
2024-04-14,3530475.2315486968,1521149.6344574322
2024-04-15,3428299.2519845273,1545561.1736127648
