,Z2,Z1,Z1_Hbac
2023-02-18,267776.7479850608,234290.32576822548,50931.59366352807
2023-02-19,272907.66256483685,247046.14546683631,52523.69502717464
2023-02-20,244743.37032516967,222039.48637690587,53879.619231424535
2023-02-21,221688.38747340333,196919.02339541027,54679.916157445135
2023-02-22,232045.68005207673,204163.2772317917,55521.934233233966
2023-02-23,227406.49287012828,196329.5423820422,56160.06151543813
2023-02-24,250908.48555481157,224774.60726470462,57128.71224985255
2023-02-25,278631.9348309321,259164.46474354083,58822.815717371086
2023-02-26,267325.14139769005,246843.64285250817,60187.70361823721
2023-02-27,284148.50371434155,274935.16394905816,62089.648135883726
2023-02-28,274967.431760775,270797.9596294211,63776.310899481425
2023-03-01,289701.8845191376,293545.6273220513,65502.411957330965
2023-03-02,303876.49632552,314265.8622851184,67208.5961003904
2023-03-03,327529.570483682,346143.5753818986,69116.18240927838
2023-03-04,328987.59581106034,347104.9215646498,70933.41668908575
2023-03-05,319064.1840513288,323951.1350506139,72263.83155922565
2023-03-06,351683.54382082913,364171.11673347617,74110.52469012997
2023-03-07,378470.66108599835,393283.2820699727,76206.10424111823
2023-03-08,418134.5765602188,435761.05787802447,78618.68504454909
2023-03-09,473481.71309939784,494544.2357514027,81482.56829420438
2023-03-10,521689.4656389609,538290.2716617929,84339.56181087614
2023-03-11,557679.12152505,568043.7658249825,87623.19594600875
2023-03-12,580398.9588514942,592847.7485296505,91379.18001282938
2023-03-13,579655.6209604362,589629.4896583266,95128.32501326484
2023-03-14,617552.4486572017,628501.3886967893,98725.48485196584
2023-03-15,647447.0851529475,667307.5982236145,102814.88531066815
2023-03-16,725971.1243446034,762154.3489850034,107509.59016818683
2023-03-17,819374.0218376104,880252.5078587717,112872.87162684074
2023-03-18,915811.7362657639,1017735.1942519036,119545.879343259
2023-03-19,1018432.11288249,1192276.514924799,127599.72179500927
2023-03-20,1064336.1179334498,1328392.8346088654,138790.0717721615
2023-03-21,1089067.2848575043,1436664.601768836,151178.65102678924
2023-03-22,1168631.992930896,1614015.4791045,161251.98191349485
2023-03-23,1241565.3530975413,1818227.1825463006,172741.20065698627
2023-03-24,1248019.1182385527,1947835.078629281,188122.02391580548
2023-03-25,1263831.269489666,2057965.407160141,202436.8316628269
2023-03-26,1309722.4871013945,2233444.5290585253,214347.5770924172
2023-03-27,1364547.053593554,2453899.7442870466,226342.05160441052
2023-03-28,1430348.4450595865,2741125.690451979,238457.09127317733
2023-03-29,1493059.6163365082,3082124.568428877,252694.29727813095
2023-03-30,1554192.8897912172,3467039.9286947297,268731.79621269245
2023-03-31,1607411.754737034,3828495.544050746,287050.55471908214
2023-04-01,1620180.0768404086,3974748.2432210594,310607.6066555218
2023-04-02,1653497.7662102017,4153783.7071732264,326916.6943392162
2023-04-03,1680827.382592218,4220456.534219163,341164.8850696863
2023-04-04,1726418.2167309911,4276345.390482458,351163.29989693
2023-04-05,1784674.90820274,4331483.472494939,359247.00771598384
2023-04-06,1825145.6229227227,4238703.600659272,371069.44229354174
2023-04-07,1841869.3816006687,3895928.7640475575,387096.2642219442
2023-04-08,1859182.2770818044,3642350.6318169935,393427.9711291837
2023-04-09,1846908.8635997032,3120105.2141273534,402396.5221606633
2023-04-10,1795360.4378241838,2600573.0456712507,405274.5836689134
2023-04-11,1715007.6733661164,2212305.98649055,405459.89807994297
2023-04-12,1657944.749184378,1972259.332211479,408920.61812792346
2023-04-13,1651775.0928812285,1884644.4423800674,416650.4520425411
2023-04-14,1648307.4913317137,1778656.37149974,427303.8718084751
2023-04-15,1709285.732736187,1795413.3221834763,440518.31616317824
2023-04-16,1679597.307692676,1672121.926624303,456857.34579724976
2023-04-17,1644179.1227081968,1559247.7483412405,470692.178450117
2023-04-18,1612350.1022308792,1472519.5154409814,483995.54029575665
2023-04-19,1600943.7797239316,1418910.1635557683,497444.89186670154
2023-04-20,1608277.5215472938,1380740.8160932316,510410.71436593327
2023-04-21,1561641.715943824,1255146.9356011169,523660.46195816057
2023-04-22,1538759.1674505651,1197506.5523055184,535404.0899672855
2023-04-23,1500574.4200700584,1129831.60643544,546262.0571541787
2023-04-24,1474057.770246386,1088411.1788093902,556761.7439606474
2023-04-25,1558502.0929923856,1171653.8187397462,565570.2597665179
