,b1
604,4672.0
605,4669.0
606,4676.0
607,4670.0
608,4668.0
609,4669.0
610,4668.0
611,4671.0
612,4675.0
613,4671.0
614,4670.0
615,4671.0
616,4668.0
617,4672.0
618,4670.0
619,4670.0
620,4669.0
621,4668.0
622,4671.0
623,4670.0
624,4672.0
625,4670.0
626,4667.0
627,4671.0
628,4668.0
629,4670.0
630,4670.0
631,4669.0
632,4671.0
633,4669.0
634,4668.0
635,4672.0
636,4671.0
637,4670.0
638,4671.0
639,4670.0
640,4670.0
641,4670.0
642,4668.0
643,4670.0
644,4669.0
645,4672.0
646,4672.0
647,4672.0
648,4671.0
649,4669.0
650,4671.0
651,4668.0
652,4670.0
653,4670.0
654,4670.0
655,4669.0
656,4671.0
657,4668.0
658,4671.0
659,4670.0
660,4672.0
661,4671.0
662,4672.0
663,4670.0
664,4672.0
665,4672.0
666,4667.0
667,4670.0
668,4670.0
669,4671.0
670,4671.0
671,4669.0
672,4670.0
673,4672.0
674,4669.0
675,4672.0
676,4668.0
677,4668.0
678,4668.0
679,4671.0
680,4669.0
681,4670.0
682,4671.0
683,4670.0
684,4672.0
685,4669.0
686,4669.0
687,4669.0
688,4670.0
689,4671.0
690,4669.0
691,4669.0
692,4670.0
693,4672.0
694,4667.0
695,4669.0
696,4670.0
697,4669.0
698,4668.0
699,4668.0
700,4669.0
701,4672.0
702,4669.0
703,4669.0
704,4670.0
705,4668.0
706,4669.0
707,4670.0
708,4671.0
709,4672.0
710,4667.0
711,4670.0
712,4670.0
713,4668.0
714,4668.0
715,4668.0
716,4668.0
717,4671.0
718,4671.0
719,4670.0
720,4672.0
721,4667.0
722,4667.0
723,4667.0
724,4667.0
725,4667.0
726,4667.0
727,4667.0
728,4667.0
729,4667.0
730,4667.0
731,4667.0
732,4667.0
733,4667.0
734,4667.0
735,4667.0
736,4667.0
737,4667.0
738,4667.0
739,4667.0
740,4667.0
741,4667.0
742,4667.0
743,4667.0
744,4667.0
745,4667.0
746,4667.0
747,4667.0
748,4667.0
749,4667.0
750,4667.0
751,4667.0
752,4667.0
753,4667.0
754,4667.0
755,4667.0
756,4667.0
757,4667.0
758,4667.0
759,4667.0
760,4667.0
761,4667.0
762,4667.0
763,4667.0
764,4667.0
765,4667.0
766,4667.0
767,4667.0
768,4667.0
769,4667.0
770,4667.0
771,4667.0
772,4667.0
773,4667.0
774,4667.0
775,4667.0
776,4667.0
777,4667.0
778,4667.0
779,4667.0
780,4667.0
781,4667.0
782,4667.0
783,4667.0
784,4667.0
785,4667.0
786,4667.0
787,4667.0
788,4667.0
789,4667.0
790,4667.0
791,4667.0
792,4667.0
793,4667.0
794,4667.0
795,4667.0
796,4667.0
797,4667.0
798,4667.0
799,4667.0
800,4667.0
801,4667.0
802,4667.0
803,4667.0
804,4667.0
805,4667.0
806,4667.0
807,4667.0
808,4667.0
809,4667.0
810,4667.0
811,4667.0
812,4667.0
813,4667.0
814,4667.0
815,4667.0
816,4667.0
817,4667.0
818,4667.0
819,4667.0
820,4667.0
821,4667.0
822,4667.0
823,4667.0
824,4667.0
825,4667.0
826,4667.0
827,4667.0
828,4667.0
829,4667.0
830,4667.0
831,4667.0
832,4667.0
833,4667.0
834,4667.0
835,4667.0
836,4667.0
837,4667.0
838,4667.0
839,4667.0
840,4667.0
841,4667.0
842,4667.0
843,4667.0
844,4667.0
845,4667.0
846,4667.0
847,4667.0
848,4667.0
849,4667.0
850,4667.0
851,4667.0
852,4667.0
853,4667.0
854,4667.0
855,4667.0
856,4667.0
857,4667.0
858,4667.0
859,4667.0
860,4667.0
861,4667.0
862,4667.0
863,4667.0
864,4667.0
865,4667.0
866,4667.0
867,4667.0
868,4667.0
869,4667.0
870,4667.0
871,4667.0
872,4667.0
873,4667.0
874,4667.0
875,4667.0
876,4667.0
877,4667.0
878,4667.0
879,4667.0
880,4667.0
881,4667.0
882,4667.0
883,4667.0
884,4667.0
885,4667.0
886,4667.0
887,4667.0
888,4667.0
889,4667.0
890,4667.0
891,4667.0
892,4667.0
893,4667.0
894,4667.0
895,4667.0
896,4667.0
897,4667.0
898,4667.0
899,4667.0
900,4667.0
901,4667.0
902,4667.0
903,4667.0
904,4667.0
905,4667.0
906,4667.0
907,4667.0
908,4667.0
909,4667.0
910,4667.0
911,4667.0
912,4667.0
913,4667.0
914,4667.0
915,4667.0
916,4667.0
917,4667.0
918,4667.0
919,4667.0
920,4667.0
921,4667.0
922,4667.0
923,4667.0
924,4667.0
925,4667.0
926,4667.0
927,4667.0
928,4667.0
929,4667.0
930,4667.0
931,4667.0
932,4667.0
933,4667.0
934,4667.0
935,4667.0
936,4667.0
937,4667.0
938,4667.0
939,4667.0
940,4667.0
941,4667.0
942,4667.0
943,4667.0
944,4667.0
945,4667.0
946,4667.0
947,4667.0
948,4667.0
949,4667.0
950,4667.0
951,4667.0
952,4667.0
953,4667.0
954,4667.0
955,4667.0
956,4667.0
957,4667.0
958,4667.0
959,4667.0
960,4667.0
961,4667.0
962,4667.0
963,4667.0
964,4667.0
965,4667.0
966,4667.0
967,4667.0
968,4667.0
969,4667.0
970,4667.0
971,4667.0
972,4667.0
973,4667.0
974,4667.0
975,4667.0
976,4667.0
977,4667.0
978,4667.0
979,4667.0
980,4667.0
981,4667.0
982,4667.0
983,4667.0
984,4667.0
985,4667.0
986,4667.0
987,4667.0
988,4667.0
989,4667.0
990,4667.0
991,4667.0
992,4667.0
993,4667.0
994,4667.0
995,4667.0
996,4667.0
997,4667.0
998,4667.0
999,4667.0
1000,4667.0
1001,4667.0
1002,4667.0
1003,4667.0
1004,4667.0
1005,4667.0
1006,4667.0
1007,4667.0
1008,4667.0
1009,4667.0
1010,4667.0
1011,4667.0
1012,4667.0
1013,4667.0
1014,4667.0
1015,4667.0
1016,4667.0
1017,4667.0
1018,4667.0
1019,4667.0
1020,4667.0
1021,4667.0
1022,4667.0
1023,4667.0
1024,4667.0
1025,4667.0
1026,4667.0
1027,4667.0
1028,4667.0
1029,4667.0
1030,4667.0
1031,4667.0
1032,4667.0
1033,4667.0
1034,4667.0
1035,4667.0
1036,4667.0
1037,4667.0
1038,4667.0
1039,4667.0
1040,4667.0
1041,4667.0
1042,4667.0
1043,4667.0
1044,4667.0
1045,4667.0
1046,4667.0
1047,4667.0
1048,4667.0
1049,4667.0
1050,4667.0
1051,4667.0
1052,4667.0
1053,4667.0
1054,4667.0
1055,4667.0
1056,4667.0
1057,4667.0
1058,4667.0
1059,4667.0
1060,4667.0
1061,4667.0
1062,4667.0
1063,4667.0
1064,4667.0
1065,4667.0
1066,4667.0
1067,4667.0
1068,4667.0
1069,4667.0
1070,4667.0
1071,4667.0
1072,4667.0
1073,4667.0
1074,4667.0
1075,4667.0
1076,4667.0
1077,4667.0
1078,4667.0
1079,4667.0
1080,4667.0
1081,4667.0
1082,4667.0
1083,4667.0
1084,4667.0
1085,4667.0
1086,4667.0
1087,4667.0
1088,4667.0
1089,4667.0
1090,4667.0
1091,4667.0
1092,4667.0
1093,4667.0
1094,4667.0
1095,4667.0
1096,4667.0
1097,4667.0
1098,4667.0
1099,4667.0
1100,4667.0
1101,4667.0
1102,4667.0
1103,4667.0
1104,4667.0
1105,4667.0
1106,4667.0
1107,4667.0
1108,4667.0
1109,4667.0
1110,4667.0
1111,4667.0
1112,4667.0
1113,4667.0
1114,4667.0
1115,4667.0
1116,4667.0
1117,4667.0
1118,4667.0
1119,4667.0
1120,4667.0
1121,4667.0
1122,4667.0
1123,4667.0
1124,4667.0
1125,4667.0
1126,4667.0
1127,4667.0
1128,4667.0
1129,4667.0
1130,4667.0
1131,4667.0
1132,4667.0
1133,4667.0
1134,4667.0
1135,4667.0
1136,4667.0
1137,4667.0
1138,4667.0
1139,4667.0
1140,4667.0
1141,4667.0
1142,4667.0
1143,4667.0
1144,4667.0
1145,4667.0
1146,4667.0
1147,4667.0
1148,4667.0
1149,4667.0
1150,4667.0
1151,4667.0
1152,4667.0
1153,4667.0
1154,4667.0
1155,4667.0
1156,4667.0
1157,4667.0
1158,4667.0
1159,4667.0
1160,4667.0
1161,4667.0
1162,4667.0
1163,4667.0
1164,4667.0
1165,4667.0
1166,4667.0
1167,4667.0
1168,4667.0
1169,4667.0
1170,4667.0
1171,4667.0
1172,4667.0
1173,4667.0
1174,4667.0
1175,4667.0
1176,4667.0
1177,4667.0
1178,4667.0
1179,4667.0
1180,4667.0
1181,4667.0
1182,4667.0
1183,4667.0
1184,4667.0
1185,4667.0
1186,4667.0
1187,4667.0
1188,4667.0
1189,4667.0
1190,4667.0
1191,4667.0
1192,4667.0
1193,4667.0
1194,4667.0
1195,4667.0
1196,4667.0
1197,4667.0
1198,4667.0
1199,4667.0
1200,4667.0
1201,4667.0
1202,4667.0
1203,4667.0
1204,4667.0
1205,4667.0
1206,4667.0
1207,4667.0
1208,4667.0
1209,4667.0
1210,4667.0
1211,4667.0
1212,4667.0
1213,4667.0
1214,4667.0
1215,4667.0
1216,4667.0
1217,4667.0
1218,4667.0
1219,4667.0
1220,4667.0
1221,4667.0
1222,4667.0
1223,4667.0
1224,4667.0
1225,4667.0
1226,4667.0
1227,4667.0
1228,4667.0
