,F1,FE1,L1,LE1,S1,SE1,F2,FE2,L2,LE2,S2,SE2,F3,FE3,L3,LE3,S3,SE3,F4,FE4,L4,LE4,S4,SE4,F5,FE5,L5,LE5,S5,SE5
10,4.476645990330725e-06,3.1358783181339966e-06,7.869135407704718e-07,3.59278724832616e-07,0.0,0.0,7.426297984319153e-06,4.223783739210639e-06,1.621669779077729e-07,1.1572385149856672e-07,0.0,0.0,0.0015164484666431173,0.0005205615902913652,4.378121979753113e-05,1.500345520813483e-05,2.418528986964072e-06,6.208483084058669e-07,8.253446959986798e-05,2.6961921586277362e-05,3.346459724652395e-05,6.400375410030739e-06,0.0,0.0,8.595722914296013e-06,5.189747133377369e-06,7.47913975884961e-06,8.687076579589354e-07,2.046814192553449e-06,7.159880412012715e-07
11,2.6246598398709817e-06,2.6112573156862836e-06,5.874110754683117e-07,3.257664101460629e-07,0.0,0.0,2.6723310495199072e-06,2.657357335813376e-06,0.0,0.0,0.0,0.0,0.0007149886380790095,0.00026057499762441674,2.2092350303884774e-05,7.893526017013344e-06,4.34973359531914e-06,9.453096678790413e-07,7.771794517339258e-05,3.9938535496261885e-05,3.481371402908841e-05,8.371180509833306e-06,0.0,0.0,0.0,0.0,4.109370052541262e-06,6.260715840682162e-07,4.3224713549746277e-07,2.497881621621229e-07
12,4.989585701543067e-06,3.528368403356611e-06,5.205405610830819e-07,2.255292159403174e-07,0.0,0.0,0.0,0.0,8.533285973302974e-08,8.612346037804679e-08,0.0,0.0,0.00010715358521628425,3.986227007108318e-05,5.9161146210042305e-06,1.4435452476551653e-06,2.722746736264373e-06,6.938457771619145e-07,8.529238792707886e-06,6.8461372636316805e-06,1.6203273985043506e-05,2.02479232389336e-06,2.9583463105479725e-07,2.0881527114152405e-07,0.0,0.0,2.1180584780619067e-06,4.3884048041683584e-07,5.729678984487419e-07,2.8618387190408787e-07
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6881740678088633e-07,1.2031149239063218e-07,0.0,0.0,0.0,0.0,1.4013672521659003e-06,4.0035592100721e-07,1.583636505992803e-07,1.5839501721549515e-07,0.0,0.0,1.1377551290629708e-05,1.1560107763870392e-06,7.241610577557762e-07,3.229717944932759e-07,0.0,0.0,1.6946820072918396e-06,3.9407163352842275e-07,7.081699321874661e-07,3.159400033589832e-07
14,0.0,0.0,1.457256903907811e-07,1.0441998452218861e-07,0.0,0.0,0.0,0.0,8.25293918543386e-08,8.338497461055851e-08,0.0,0.0,0.0,0.0,2.3311747927198694e-06,5.338500899262009e-07,1.5497950464614342e-07,1.5501020097465698e-07,0.0,0.0,9.207424071594484e-06,1.0176692664852983e-06,9.879780112096964e-07,3.721530931254895e-07,0.0,0.0,1.91679243813141e-06,4.052770212782358e-07,2.772146888010808e-07,1.9557072845312183e-07
15,0.0,0.0,2.0978471194936618e-07,1.2292821190824098e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8619165167821145e-06,4.5750305866142605e-07,0.0,0.0,0.0,0.0,1.0810384168723708e-05,1.1160983884650061e-06,6.536645843563558e-07,3.4490697366403853e-07,0.0,0.0,1.244408715905039e-06,3.059595893143781e-07,1.3308225346335282e-07,1.3283437809367722e-07
16,0.0,0.0,3.2493701501050514e-07,1.7432689619266129e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.952540212992428e-07,2.886779098637573e-07,0.0,0.0,0.0,0.0,9.205561321781576e-06,8.904445666707111e-07,7.476304601758697e-07,3.042899082966952e-07,0.0,0.0,1.290720001897417e-06,3.0766399744126995e-07,0.0,0.0
17,0.0,0.0,3.9946431378027016e-07,1.5298674664374406e-07,0.0,0.0,0.0,0.0,6.463718980776223e-08,6.530267153152858e-08,0.0,0.0,0.0,0.0,5.603466784435234e-07,2.1017565551562719e-07,0.0,0.0,0.0,0.0,9.842494226210031e-06,9.544800004274442e-07,1.7510596283564782e-06,4.6028348713254937e-07,0.0,0.0,8.835980480262301e-07,2.3147335160021853e-07,1.0852364793722474e-07,1.0824186299417017e-07
18,0.0,0.0,1.389169263069383e-07,8.131987611624669e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0341590405214326e-07,1.6243134314788608e-07,0.0,0.0,0.0,0.0,1.0244975670513384e-05,9.111287282926069e-07,1.98564472092785e-06,4.1977807164009915e-07,0.0,0.0,5.066258353304437e-07,1.6239396340700853e-07,0.0,0.0
19,0.0,0.0,1.0266351649194999e-07,6.008551903270508e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8446746898693964e-07,8.364157244660284e-08,0.0,0.0,0.0,0.0,9.031192679647411e-06,7.741247904855858e-07,1.5724913514251125e-06,3.458838676743794e-07,0.0,0.0,2.1901878688163972e-07,1.0691328078909736e-07,6.501623498729605e-08,6.48262676296846e-08
20,0.0,0.0,2.3238493388978706e-07,8.5232910586845e-08,0.0,0.0,0.0,0.0,2.6305972242367693e-08,2.6501080115598334e-08,0.0,0.0,0.0,0.0,2.537635795665478e-07,8.903082216206072e-08,0.0,0.0,0.0,0.0,8.403497063283841e-06,6.480320867275841e-07,9.080930874902448e-07,2.9159318831757187e-07,0.0,0.0,6.383669306611066e-07,1.369218382418614e-07,0.0,0.0
21,0.0,0.0,1.3450732250324271e-07,6.586660234728653e-08,0.0,0.0,0.0,0.0,1.6928011185307368e-08,1.704067059310628e-08,0.0,0.0,0.0,0.0,1.6547271420783538e-08,1.6724936318821162e-08,0.0,0.0,0.0,0.0,9.457255870353714e-06,6.359407990927999e-07,1.249882980743628e-06,2.468015304609945e-07,0.0,0.0,9.239577727882693e-08,3.806234508668021e-08,0.0,0.0
